date,open,high,low,close,volume,adj_close,fetched_at
2019-08-12,233.0,233.0,227.0,228.0,64760,228.0,2026-09-03T19:35:11.414032+00:00
2019-08-13,226.0,230.0,225.0,225.0,42565,225.0,2026-09-03T19:35:11.414032+00:00
2019-08-14,224.0,227.0,222.0,222.0,44230,222.0,2026-09-03T19:35:11.414032+00:00
2019-08-15,220.0,226.0,220.0,222.0,23050,222.0,2026-09-03T19:35:11.414032+00:00
2019-08-18,223.0,225.0,217.0,217.0,42847,217.0,2026-09-03T19:35:11.414032+00:00
2019-08-19,217.0,228.0,213.0,222.0,37300,222.0,2026-09-03T19:35:11.414032+00:00
2019-08-20,222.0,222.0,216.0,217.0,34270,217.0,2026-09-03T19:35:11.414032+00:00
2019-08-21,218.0,222.0,216.0,217.0,20900,217.0,2026-09-03T19:35:11.414032+00:00
2019-08-22,216.0,219.0,216.0,217.0,19505,217.0,2026-09-03T19:35:11.414032+00:00
2019-08-25,217.0,217.0,210.0,214.0,29840,214.0,2026-09-03T19:35:11.414032+00:00
2019-08-26,211.0,213.0,206.0,206.0,32565,206.0,2026-09-03T19:35:11.414032+00:00
2019-08-27,206.0,214.0,201.0,209.0,18681,209.0,2026-09-03T19:35:11.414032+00:00
2019-08-28,208.0,211.0,205.0,206.0,12359,206.0,2026-09-03T19:35:11.414032+00:00
2019-08-29,206.0,208.0,203.0,203.0,16538,203.0,2026-09-03T19:35:11.414032+00:00
2019-09-01,203.0,203.0,189.0,190.0,34280,190.0,2026-09-03T19:35:11.414032+00:00
2019-09-02,188.0,192.0,185.0,188.0,24421,188.0,2026-09-03T19:35:11.414032+00:00
2019-09-03,190.0,194.0,180.0,191.0,31610,191.0,2026-09-03T19:35:11.414032+00:00
2019-09-04,194.0,194.0,187.0,192.0,22253,192.0,2026-09-03T19:35:11.414032+00:00
2019-09-05,192.0,196.0,188.0,190.0,21245,190.0,2026-09-03T19:35:11.414032+00:00
2019-09-08,190.0,191.0,184.0,184.0,10870,184.0,2026-09-03T19:35:11.414032+00:00
2019-09-09,186.0,189.0,180.0,181.0,16670,181.0,2026-09-03T19:35:11.414032+00:00
2019-09-10,181.0,182.0,173.0,177.0,26971,177.0,2026-09-03T19:35:11.414032+00:00
2019-09-11,177.0,180.0,175.0,177.0,11801,177.0,2026-09-03T19:35:11.414032+00:00
2019-09-12,177.0,177.0,173.0,173.0,13435,173.0,2026-09-03T19:35:11.414032+00:00
2019-09-15,173.0,174.0,163.0,168.0,30110,168.0,2026-09-03T19:35:11.414032+00:00
2019-09-16,165.0,171.0,163.0,167.0,16910,167.0,2026-09-03T19:35:11.414032+00:00
2019-09-17,167.0,186.0,164.0,178.0,48995,178.0,2026-09-03T19:35:11.414032+00:00
2019-09-18,178.0,183.0,173.0,182.0,47604,182.0,2026-09-03T19:35:11.414032+00:00
2019-09-19,183.0,183.0,175.0,177.0,15330,177.0,2026-09-03T19:35:11.414032+00:00
