date,open,high,low,close,volume,adj_close,fetched_at
2023-01-25,379.0,408.7,379.0,408.7,1965,408.7,2026-09-03T19:34:06.198261+00:00
2023-01-26,416.8,449.5,416.8,449.5,1160,449.5,2026-09-03T19:34:06.198261+00:00
2023-01-29,458.4,494.4,458.4,494.4,1815,494.4,2026-09-03T19:34:06.198261+00:00
2023-01-30,504.2,543.8,504.2,519.8,332697,519.8,2026-09-03T19:34:06.198261+00:00
2023-01-31,525.0,525.0,502.0,509.1,132067,509.1,2026-09-03T19:34:06.198261+00:00
2023-02-01,503.5,512.9,500.2,505.0,38506,505.0,2026-09-03T19:34:06.198261+00:00
2023-02-02,512.0,512.0,490.2,495.0,53653,495.0,2026-09-03T19:34:06.198261+00:00
2023-02-05,500.0,503.0,490.0,490.3,45585,490.3,2026-09-03T19:34:06.198261+00:00
2023-02-06,490.0,491.9,481.2,483.0,28038,483.0,2026-09-03T19:34:06.198261+00:00
2023-02-07,480.0,509.4,480.0,507.0,50596,507.0,2026-09-03T19:34:06.198261+00:00
2023-02-08,517.1,519.0,503.8,503.8,51613,503.8,2026-09-03T19:34:06.198261+00:00
2023-02-09,500.0,509.0,500.0,506.0,27221,506.0,2026-09-03T19:34:06.198261+00:00
2023-02-12,495.9,504.0,487.0,491.3,40248,491.3,2026-09-03T19:34:06.198261+00:00
2023-02-14,490.0,495.0,487.0,488.1,36181,488.1,2026-09-03T19:34:06.198261+00:00
2023-02-15,494.9,494.9,486.0,487.0,28795,487.0,2026-09-03T19:34:06.198261+00:00
2023-02-16,485.0,489.8,480.4,481.2,28057,481.2,2026-09-03T19:34:06.198261+00:00
2023-02-20,480.0,487.9,480.0,486.0,23780,486.0,2026-09-03T19:34:06.198261+00:00
2023-02-22,493.0,503.8,485.1,496.2,33192,496.2,2026-09-03T19:34:06.198261+00:00
2023-02-23,491.1,494.9,483.0,485.1,36749,485.1,2026-09-03T19:34:06.198261+00:00
2023-02-26,477.0,490.0,462.0,489.0,49016,489.0,2026-09-03T19:34:06.198261+00:00
2023-02-27,493.0,493.0,477.6,491.0,27603,491.0,2026-09-03T19:34:06.198261+00:00
