date,open,high,low,close,volume,adj_close,fetched_at
2013-10-08,550.0,605.0,550.0,605.0,2783,605.0,2026-09-03T19:34:17.872253+00:00
2013-10-09,605.0,665.0,617.0,665.0,16506,665.0,2026-09-03T19:34:17.872253+00:00
2013-10-10,665.0,718.0,652.0,690.0,23565,690.0,2026-09-03T19:34:17.872253+00:00
2013-10-17,690.0,693.0,677.0,686.0,2986,686.0,2026-09-03T19:34:17.872253+00:00
2013-10-20,686.0,695.0,652.0,660.0,1943,660.0,2026-09-03T19:34:17.872253+00:00
2013-10-21,660.0,673.0,650.0,670.0,10997,670.0,2026-09-03T19:34:17.872253+00:00
2013-10-22,670.0,674.0,660.0,674.0,6847,674.0,2026-09-03T19:34:17.872253+00:00
2013-10-23,674.0,682.0,670.0,680.0,14041,680.0,2026-09-03T19:34:17.872253+00:00
2013-10-24,680.0,700.0,676.0,699.0,11302,699.0,2026-09-03T19:34:17.872253+00:00
2013-10-27,699.0,710.0,675.0,690.0,12862,690.0,2026-09-03T19:34:17.872253+00:00
2013-10-28,690.0,695.0,668.0,691.0,4891,691.0,2026-09-03T19:34:17.872253+00:00
2013-10-29,691.0,695.0,675.0,688.0,3268,688.0,2026-09-03T19:34:17.872253+00:00
2013-10-30,688.0,696.0,688.0,693.0,4868,693.0,2026-09-03T19:34:17.872253+00:00
2013-10-31,693.0,698.0,688.0,691.0,11043,691.0,2026-09-03T19:34:17.872253+00:00
2013-11-06,691.0,683.0,665.0,680.0,7253,680.0,2026-09-03T19:34:17.872253+00:00
2013-11-07,680.0,691.0,680.0,687.0,3669,687.0,2026-09-03T19:34:17.872253+00:00
2013-11-10,687.0,701.0,689.0,695.0,4399,695.0,2026-09-03T19:34:17.872253+00:00
2013-11-11,695.0,702.0,690.0,700.0,14879,700.0,2026-09-03T19:34:17.872253+00:00
2013-11-12,700.0,725.0,703.0,716.0,10501,716.0,2026-09-03T19:34:17.872253+00:00
2013-11-13,716.0,745.0,712.0,725.0,7925,725.0,2026-09-03T19:34:17.872253+00:00
2013-11-14,725.0,735.0,718.0,724.0,7175,724.0,2026-09-03T19:34:17.872253+00:00
2013-11-21,724.0,738.0,738.0,738.0,16,738.0,2026-09-03T19:34:17.872253+00:00
2013-11-24,738.0,800.0,737.0,737.0,3633,737.0,2026-09-03T19:34:17.872253+00:00
2013-11-25,737.0,750.0,720.0,737.0,5297,737.0,2026-09-03T19:34:17.872253+00:00
2013-11-26,737.0,760.0,716.0,750.0,3137,750.0,2026-09-03T19:34:17.872253+00:00
2013-11-27,750.0,760.0,745.0,755.0,2179,755.0,2026-09-03T19:34:17.872253+00:00
2013-11-28,755.0,769.0,740.0,768.0,2292,768.0,2026-09-03T19:34:17.872253+00:00
2013-12-01,768.0,790.0,765.0,770.0,3395,770.0,2026-09-03T19:34:17.872253+00:00
2013-12-02,770.0,824.0,770.0,824.0,7326,824.0,2026-09-03T19:34:17.872253+00:00
2013-12-03,824.0,906.0,823.0,906.0,7229,906.0,2026-09-03T19:34:17.872253+00:00
2013-12-04,906.0,996.0,924.0,990.0,4329,990.0,2026-09-03T19:34:17.872253+00:00
2013-12-05,990.0,1038.0,970.0,989.0,20168,989.0,2026-09-03T19:34:17.872253+00:00
2013-12-08,989.0,1008.0,916.0,930.0,2766,930.0,2026-09-03T19:34:17.872253+00:00
2013-12-09,930.0,935.0,912.0,935.0,2635,935.0,2026-09-03T19:34:17.872253+00:00
2013-12-10,935.0,934.0,902.0,905.0,1391,905.0,2026-09-03T19:34:17.872253+00:00
2013-12-11,905.0,943.0,911.0,925.0,3154,925.0,2026-09-03T19:34:17.872253+00:00
2013-12-12,925.0,959.0,907.0,927.0,1644,927.0,2026-09-03T19:34:17.872253+00:00
2013-12-15,927.0,995.0,927.0,995.0,3430,995.0,2026-09-03T19:34:17.872253+00:00
2013-12-16,995.0,1014.0,1000.0,1014.0,467,1014.0,2026-09-03T19:34:17.872253+00:00
2013-12-18,1014.0,1033.0,994.0,1015.0,8172,1015.0,2026-09-03T19:34:17.872253+00:00
2013-12-19,1015.0,1009.0,957.0,1000.0,3787,1000.0,2026-09-03T19:34:17.872253+00:00
2013-12-22,1000.0,1020.0,990.0,1005.0,10777,1005.0,2026-09-03T19:34:17.872253+00:00
2013-12-23,1000.0,1001.0,980.0,980.0,6906,980.0,2026-09-03T19:34:17.872253+00:00
2013-12-24,980.0,1000.0,940.0,975.0,7795,975.0,2026-09-03T19:34:17.872253+00:00
2013-12-26,995.0,1022.0,980.0,1022.0,16840,1022.0,2026-09-03T19:34:17.872253+00:00
2013-12-29,1022.0,916.0,906.0,912.0,135,912.0,2026-09-03T19:34:17.872253+00:00
2013-12-31,912.0,930.0,900.0,900.0,8081,900.0,2026-09-03T19:34:17.872253+00:00
2014-01-01,900.0,930.0,900.0,930.0,976,930.0,2026-09-03T19:34:17.872253+00:00
2014-01-02,930.0,969.0,898.0,969.0,803,969.0,2026-09-03T19:34:17.872253+00:00
2014-01-05,969.0,988.0,957.0,957.0,501,957.0,2026-09-03T19:34:17.872253+00:00
2014-01-06,957.0,963.0,940.0,963.0,7631,963.0,2026-09-03T19:34:17.872253+00:00
2014-01-07,963.0,969.0,910.0,969.0,3080,969.0,2026-09-03T19:34:17.872253+00:00
2014-01-08,969.0,988.0,963.0,982.0,376,982.0,2026-09-03T19:34:17.872253+00:00
2014-01-09,982.0,995.0,974.0,995.0,1992,995.0,2026-09-03T19:34:17.872253+00:00
2014-01-12,995.0,1075.0,995.0,1075.0,345,1075.0,2026-09-03T19:34:17.872253+00:00
2014-01-13,1075.0,1139.0,1096.0,1110.0,401,1110.0,2026-09-03T19:34:17.872253+00:00
2014-01-14,1110.0,1140.0,1110.0,1131.0,1937,1131.0,2026-09-03T19:34:17.872253+00:00
