date,open,high,low,close,volume,adj_close,fetched_at
2013-06-19,0.0,153.0,153.0,153.0,50,153.0,2026-09-03T19:34:15.527375+00:00
2013-06-20,153.0,168.0,156.0,168.0,314,168.0,2026-09-03T19:34:15.527375+00:00
2013-06-23,168.0,184.0,171.0,184.0,1886,184.0,2026-09-03T19:34:15.527375+00:00
2013-06-24,184.0,202.0,187.0,202.0,1552,202.0,2026-09-03T19:34:15.527375+00:00
2013-06-25,202.0,222.0,192.0,212.0,2375,212.0,2026-09-03T19:34:15.527375+00:00
2013-06-26,212.0,222.0,222.0,222.0,10,222.0,2026-09-03T19:34:15.527375+00:00
2013-06-27,222.0,218.0,200.0,200.0,1314,200.0,2026-09-03T19:34:15.527375+00:00
2013-06-30,200.0,196.0,182.0,182.0,438,182.0,2026-09-03T19:34:15.527375+00:00
2013-07-01,182.0,182.0,179.0,180.0,275,180.0,2026-09-03T19:34:15.527375+00:00
2013-07-02,180.0,189.0,183.0,185.0,212,185.0,2026-09-03T19:34:15.527375+00:00
2013-07-03,185.0,186.0,180.0,186.0,195,186.0,2026-09-03T19:34:15.527375+00:00
2013-07-04,186.0,186.0,183.0,186.0,356,186.0,2026-09-03T19:34:15.527375+00:00
2013-07-07,186.0,204.0,189.0,204.0,477,204.0,2026-09-03T19:34:15.527375+00:00
2013-07-08,204.0,208.0,200.0,204.0,247,204.0,2026-09-03T19:34:15.527375+00:00
2013-07-09,204.0,212.0,206.0,212.0,441,212.0,2026-09-03T19:34:15.527375+00:00
2013-07-10,212.0,215.0,210.0,212.0,505,212.0,2026-09-03T19:34:15.527375+00:00
2013-07-11,212.0,233.0,208.0,233.0,887,233.0,2026-09-03T19:34:15.527375+00:00
2013-07-14,233.0,236.0,232.0,232.0,404,232.0,2026-09-03T19:34:15.527375+00:00
2013-07-15,232.0,244.0,232.0,239.0,386,239.0,2026-09-03T19:34:15.527375+00:00
2013-07-16,239.0,247.0,235.0,247.0,666,247.0,2026-09-03T19:34:15.527375+00:00
2013-07-17,247.0,268.0,249.0,268.0,1245,268.0,2026-09-03T19:34:15.527375+00:00
2013-07-21,268.0,280.0,250.0,280.0,188,280.0,2026-09-03T19:34:15.527375+00:00
2013-07-22,280.0,285.0,270.0,285.0,743,285.0,2026-09-03T19:34:15.527375+00:00
2013-07-23,285.0,300.0,285.0,300.0,192,300.0,2026-09-03T19:34:15.527375+00:00
