date,open,high,low,close,volume,adj_close,fetched_at
2019-01-21,505.0,505.0,505.0,505.0,1010,505.0,2026-09-03T19:34:59.528821+00:00
2019-01-27,515.0,515.0,515.0,515.0,10,515.0,2026-09-03T19:34:59.528821+00:00
2019-01-28,540.0,540.0,540.0,540.0,10,540.0,2026-09-03T19:34:59.528821+00:00
2019-01-29,567.0,567.0,567.0,567.0,10,567.0,2026-09-03T19:34:59.528821+00:00
2019-01-30,595.0,606.0,595.0,606.0,20,606.0,2026-09-03T19:34:59.528821+00:00
2019-01-31,636.0,648.0,636.0,648.0,20,648.0,2026-09-03T19:34:59.528821+00:00
2019-02-05,680.0,712.0,680.0,712.0,200,712.0,2026-09-03T19:34:59.528821+00:00
2019-02-06,747.0,783.0,747.0,783.0,620,783.0,2026-09-03T19:34:59.528821+00:00
2019-02-07,822.0,861.0,768.0,852.0,20090,852.0,2026-09-03T19:34:59.528821+00:00
2019-02-10,854.0,854.0,808.0,809.0,7266,809.0,2026-09-03T19:34:59.528821+00:00
2019-02-11,800.0,824.0,787.0,806.0,3340,806.0,2026-09-03T19:34:59.528821+00:00
2019-02-12,810.0,812.0,802.0,804.0,1391,804.0,2026-09-03T19:34:59.528821+00:00
2019-02-13,800.0,802.0,795.0,800.0,2310,800.0,2026-09-03T19:34:59.528821+00:00
2019-02-14,800.0,800.0,780.0,790.0,2470,790.0,2026-09-03T19:34:59.528821+00:00
2019-02-17,804.0,805.0,781.0,783.0,1760,783.0,2026-09-03T19:34:59.528821+00:00
2019-02-18,781.0,781.0,773.0,780.0,1460,780.0,2026-09-03T19:34:59.528821+00:00
2019-02-19,780.0,832.0,770.0,832.0,1000,832.0,2026-09-03T19:34:59.528821+00:00
2019-02-20,816.0,816.0,780.0,788.0,800,788.0,2026-09-03T19:34:59.528821+00:00
2019-02-21,784.0,791.0,776.0,778.0,1957,778.0,2026-09-03T19:34:59.528821+00:00
2019-02-24,764.0,786.0,759.0,786.0,3120,786.0,2026-09-03T19:34:59.528821+00:00
2019-02-25,799.0,799.0,769.0,784.0,890,784.0,2026-09-03T19:34:59.528821+00:00
2019-02-26,785.0,786.0,771.0,772.0,980,772.0,2026-09-03T19:34:59.528821+00:00
2019-02-27,772.0,798.0,765.0,775.0,1280,775.0,2026-09-03T19:34:59.528821+00:00
