date,open,high,low,close,volume,adj_close,fetched_at
2021-02-25,10.0,10.33,9.99,10.29,59241,10.29,2026-09-03T19:35:27.480325+00:00
2021-02-28,10.1,10.1,10.0,10.01,20750,10.01,2026-09-03T19:35:27.480325+00:00
2021-03-01,9.95,10.1,9.82,10.1,15590,10.1,2026-09-03T19:35:27.480325+00:00
2021-03-02,10.0,10.0,9.9,9.92,3400,9.92,2026-09-03T19:35:27.480325+00:00
2021-03-03,9.92,10.0,9.89,9.89,5400,9.89,2026-09-03T19:35:27.480325+00:00
2021-03-04,9.81,10.08,9.81,10.0,13110,10.0,2026-09-03T19:35:27.480325+00:00
2021-03-07,9.81,10.0,9.81,9.9,6090,9.9,2026-09-03T19:35:27.480325+00:00
2021-03-09,9.9,10.09,9.82,9.88,17010,9.88,2026-09-03T19:35:27.480325+00:00
2021-03-10,9.89,10.0,9.85,9.85,24000,9.85,2026-09-03T19:35:27.480325+00:00
2021-03-14,9.85,10.0,9.85,9.85,14750,9.85,2026-09-03T19:35:27.480325+00:00
2021-03-15,9.7,10.0,9.7,9.8,9350,9.8,2026-09-03T19:35:27.480325+00:00
2021-03-16,9.7,9.89,9.7,9.8,15439,9.8,2026-09-03T19:35:27.480325+00:00
2021-03-17,9.7,9.99,9.7,9.93,9050,9.93,2026-09-03T19:35:27.480325+00:00
2021-03-18,9.8,9.93,9.8,9.89,16940,9.89,2026-09-03T19:35:27.480325+00:00
2021-03-21,9.8,9.88,9.8,9.88,16970,9.88,2026-09-03T19:35:27.480325+00:00
2021-03-22,9.75,9.94,9.75,9.81,27500,9.81,2026-09-03T19:35:27.480325+00:00
2021-03-23,9.85,9.85,9.7,9.84,13140,9.84,2026-09-03T19:35:27.480325+00:00
2021-03-24,9.65,9.9,9.65,9.89,14160,9.89,2026-09-03T19:35:27.480325+00:00
2021-03-25,10.0,10.0,9.72,9.93,52860,9.93,2026-09-03T19:35:27.480325+00:00
2021-03-29,9.81,10.1,9.81,9.93,20090,9.93,2026-09-03T19:35:27.480325+00:00
2021-03-30,9.8,10.0,9.74,9.9,17009,9.9,2026-09-03T19:35:27.480325+00:00
2021-03-31,9.74,9.97,9.74,9.97,5010,9.97,2026-09-03T19:35:27.480325+00:00
2021-04-01,9.78,10.05,9.78,9.96,27550,9.96,2026-09-03T19:35:27.480325+00:00
2021-04-04,9.8,10.01,9.61,9.98,49932,9.98,2026-09-03T19:35:27.480325+00:00
2021-04-05,9.8,9.9,9.8,9.89,24294,9.89,2026-09-03T19:35:27.480325+00:00
2021-04-06,9.7,10.04,9.7,10.04,32940,10.04,2026-09-03T19:35:27.480325+00:00
2021-04-07,10.0,10.0,9.81,9.95,2100,9.95,2026-09-03T19:35:27.480325+00:00
2021-04-08,9.79,10.0,9.79,9.95,5895,9.95,2026-09-03T19:35:27.480325+00:00
2021-04-12,9.76,9.89,9.76,9.85,6650,9.85,2026-09-03T19:35:27.480325+00:00
2021-04-13,9.7,9.99,9.7,9.99,14600,9.99,2026-09-03T19:35:27.480325+00:00
2021-04-15,10.0,10.04,9.68,10.01,99430,10.01,2026-09-03T19:35:27.480325+00:00
