date,open,high,low,close,volume,adj_close,fetched_at
2017-07-26,403.0,411.0,411.0,411.0,9,411.0,2026-09-03T19:34:45.025206+00:00
2017-07-27,403.0,411.0,411.0,411.0,1,411.0,2026-09-03T19:34:45.025206+00:00
2017-08-15,403.0,411.0,411.0,411.0,10,411.0,2026-09-03T19:34:45.025206+00:00
2017-08-20,411.0,419.0,419.0,419.0,1000,419.0,2026-09-03T19:34:45.025206+00:00
2017-08-28,419.0,427.0,427.0,427.0,10,427.0,2026-09-03T19:34:45.025206+00:00
2017-09-10,427.0,448.0,448.0,448.0,10,448.0,2026-09-03T19:34:45.025206+00:00
2017-09-20,448.0,456.0,456.0,456.0,10,456.0,2026-09-03T19:34:45.025206+00:00
2017-11-05,456.0,501.0,465.0,501.0,130,501.0,2026-09-03T19:34:45.025206+00:00
2017-11-09,501.0,551.0,511.0,551.0,130,551.0,2026-09-03T19:34:45.025206+00:00
2017-11-13,551.0,562.0,562.0,562.0,10,562.0,2026-09-03T19:34:45.025206+00:00
2017-11-15,551.0,573.0,562.0,573.0,60,573.0,2026-09-03T19:34:45.025206+00:00
2017-11-27,478.0,487.0,487.0,487.0,10,487.0,2026-09-03T19:34:45.025206+00:00
2017-12-18,487.0,511.0,511.0,511.0,10,511.0,2026-09-03T19:34:45.025206+00:00
2017-12-19,511.0,536.0,536.0,536.0,10,536.0,2026-09-03T19:34:45.025206+00:00
2018-01-01,536.0,562.0,562.0,562.0,10,562.0,2026-09-03T19:34:45.025206+00:00
2018-02-04,562.0,590.0,590.0,590.0,10,590.0,2026-09-03T19:34:45.025206+00:00
2018-03-18,0.0,0.0,0.0,0.0,20,0.0,2026-09-03T19:34:45.025206+00:00
2018-03-29,494.56,505.8,494.56,590.0,201,590.0,2026-09-03T19:34:45.025206+00:00
2018-04-03,619.0,619.0,619.0,619.0,10,619.0,2026-09-03T19:34:45.025206+00:00
2018-05-02,631.0,655.0,631.0,655.0,30,655.0,2026-09-03T19:34:45.025206+00:00
2018-05-03,668.0,694.0,668.0,694.0,30,694.0,2026-09-03T19:34:45.025206+00:00
2018-05-06,707.0,721.0,707.0,721.0,20,721.0,2026-09-03T19:34:45.025206+00:00
2018-05-07,735.0,749.0,735.0,749.0,20,749.0,2026-09-03T19:34:45.025206+00:00
2018-05-08,763.0,793.0,763.0,793.0,30,793.0,2026-09-03T19:34:45.025206+00:00
2018-05-09,808.0,824.0,808.0,824.0,20,824.0,2026-09-03T19:34:45.025206+00:00
2018-05-10,840.0,873.0,840.0,873.0,30,873.0,2026-09-03T19:34:45.025206+00:00
2018-05-14,890.0,890.0,890.0,890.0,10,890.0,2026-09-03T19:34:45.025206+00:00
2018-05-16,907.0,907.0,907.0,907.0,10,907.0,2026-09-03T19:34:45.025206+00:00
2018-05-17,952.0,952.0,952.0,952.0,10,952.0,2026-09-03T19:34:45.025206+00:00
2018-05-20,971.0,990.0,971.0,990.0,34,990.0,2026-09-03T19:34:45.025206+00:00
2018-05-21,1009.0,1009.0,1009.0,1009.0,10,1009.0,2026-09-03T19:34:45.025206+00:00
2018-05-23,1029.0,1029.0,1029.0,1029.0,79,1029.0,2026-09-03T19:34:45.025206+00:00
2018-05-27,1049.0,1049.0,1049.0,1049.0,12,1049.0,2026-09-03T19:34:45.025206+00:00
2018-05-28,1069.0,1111.0,1069.0,1111.0,32,1111.0,2026-09-03T19:34:45.025206+00:00
2018-05-29,1166.0,1189.0,1166.0,1189.0,24,1189.0,2026-09-03T19:34:45.025206+00:00
2018-06-04,1212.0,1212.0,1212.0,1212.0,14,1212.0,2026-09-03T19:34:45.025206+00:00
2018-06-07,1236.0,1260.0,1236.0,1260.0,24,1260.0,2026-09-03T19:34:45.025206+00:00
2018-06-10,1285.0,1336.0,1285.0,1336.0,46,1336.0,2026-09-03T19:34:45.025206+00:00
2018-06-11,1362.0,1416.0,1362.0,1416.0,44,1416.0,2026-09-03T19:34:45.025206+00:00
2018-06-12,1444.0,1444.0,1444.0,1444.0,316,1444.0,2026-09-03T19:34:45.025206+00:00
2018-06-13,1472.0,1501.0,1472.0,1501.0,24,1501.0,2026-09-03T19:34:45.025206+00:00
2018-06-14,1531.0,1623.0,1531.0,1623.0,46,1623.0,2026-09-03T19:34:45.025206+00:00
2018-06-17,1655.0,1785.0,1655.0,1785.0,96,1785.0,2026-09-03T19:34:45.025206+00:00
2018-06-18,1820.0,1963.0,1820.0,1963.0,66,1963.0,2026-09-03T19:34:45.025206+00:00
2018-06-19,2002.0,2159.0,2002.0,2159.0,740,2159.0,2026-09-03T19:34:45.025206+00:00
2018-06-20,2202.0,2374.0,2176.0,2216.0,4813,2216.0,2026-09-03T19:34:45.025206+00:00
2018-06-21,2229.0,2229.0,2128.0,2170.0,1730,2170.0,2026-09-03T19:34:45.025206+00:00
2018-06-24,2139.0,2151.0,2115.0,2125.0,2329,2125.0,2026-09-03T19:34:45.025206+00:00
2018-06-25,2086.0,2136.0,2051.0,2052.0,4261,2052.0,2026-09-03T19:34:45.025206+00:00
