date,open,high,low,close,volume,adj_close,fetched_at
2018-04-05,313.0,313.0,313.0,313.0,10,313.0,2026-09-03T19:34:51.232640+00:00
2018-04-08,319.0,325.0,319.0,325.0,20,325.0,2026-09-03T19:34:51.232640+00:00
2018-04-09,331.0,337.0,331.0,337.0,20,337.0,2026-09-03T19:34:51.232640+00:00
2018-04-10,343.0,349.0,343.0,349.0,20,349.0,2026-09-03T19:34:51.232640+00:00
2018-04-11,355.0,362.0,355.0,362.0,20,362.0,2026-09-03T19:34:51.232640+00:00
2018-04-12,369.0,376.0,369.0,376.0,20,376.0,2026-09-03T19:34:51.232640+00:00
2018-04-15,383.0,390.0,383.0,390.0,20,390.0,2026-09-03T19:34:51.232640+00:00
2018-04-23,397.0,412.0,397.0,412.0,30,412.0,2026-09-03T19:34:51.232640+00:00
2018-05-06,432.0,432.0,432.0,432.0,20,432.0,2026-09-03T19:34:51.232640+00:00
2018-05-09,440.0,448.0,440.0,448.0,20,448.0,2026-09-03T19:34:51.232640+00:00
2018-05-10,456.0,474.0,456.0,474.0,40,474.0,2026-09-03T19:34:51.232640+00:00
2018-05-14,483.0,483.0,483.0,483.0,20,483.0,2026-09-03T19:34:51.232640+00:00
2018-05-20,497.0,521.0,497.0,521.0,50,521.0,2026-09-03T19:34:51.232640+00:00
2018-05-21,531.0,531.0,531.0,531.0,10,531.0,2026-09-03T19:34:51.232640+00:00
2018-05-24,557.0,557.0,557.0,557.0,10,557.0,2026-09-03T19:34:51.232640+00:00
2018-06-10,568.0,601.0,568.0,601.0,40,601.0,2026-09-03T19:34:51.232640+00:00
2018-06-11,613.0,613.0,613.0,613.0,10,613.0,2026-09-03T19:34:51.232640+00:00
2018-06-12,369.0,376.0,369.0,376.0,20,376.0,2026-09-03T19:34:51.232640+00:00
2018-06-13,613.0,613.0,613.0,613.0,10,613.0,2026-09-03T19:34:51.232640+00:00
2018-06-17,625.0,649.0,625.0,649.0,30,649.0,2026-09-03T19:34:51.232640+00:00
2018-06-20,661.0,661.0,661.0,661.0,10,661.0,2026-09-03T19:34:51.232640+00:00
2018-06-24,661.0,661.0,661.0,661.0,10,661.0,2026-09-03T19:34:51.232640+00:00
2018-06-27,661.0,661.0,661.0,661.0,10,661.0,2026-09-03T19:34:51.232640+00:00
2018-06-28,674.0,674.0,674.0,674.0,10,674.0,2026-09-03T19:34:51.232640+00:00
2018-07-03,687.0,687.0,687.0,687.0,10,687.0,2026-09-03T19:34:51.232640+00:00
2018-07-05,700.0,700.0,700.0,700.0,10,700.0,2026-09-03T19:34:51.232640+00:00
2018-07-08,714.0,714.0,714.0,714.0,10,714.0,2026-09-03T19:34:51.232640+00:00
2018-07-10,728.0,728.0,727.0,727.0,10,727.0,2026-09-03T19:34:51.232640+00:00
2018-07-12,749.0,763.0,749.0,763.0,20,763.0,2026-09-03T19:34:51.232640+00:00
2018-07-15,801.0,817.0,801.0,817.0,20,817.0,2026-09-03T19:34:51.232640+00:00
2018-07-22,833.0,833.0,833.0,833.0,10,833.0,2026-09-03T19:34:51.232640+00:00
2018-07-23,849.0,849.0,849.0,849.0,10,849.0,2026-09-03T19:34:51.232640+00:00
2018-07-25,874.0,916.0,874.0,916.0,70,916.0,2026-09-03T19:34:51.232640+00:00
2018-07-26,934.0,934.0,934.0,934.0,10,934.0,2026-09-03T19:34:51.232640+00:00
2018-08-06,980.0,1027.0,980.0,1027.0,70,1027.0,2026-09-03T19:34:51.232640+00:00
2018-08-07,1078.0,1129.0,1078.0,1129.0,110,1129.0,2026-09-03T19:34:51.232640+00:00
2018-08-08,1185.0,1241.0,1185.0,1241.0,360,1241.0,2026-09-03T19:34:51.232640+00:00
2018-08-09,1303.0,1365.0,1140.0,1143.0,8017,1143.0,2026-09-03T19:34:51.232640+00:00
2018-08-12,1121.0,1121.0,1029.0,1029.0,80,1029.0,2026-09-03T19:34:51.232640+00:00
2018-08-13,1009.0,1009.0,927.0,927.0,120,927.0,2026-09-03T19:34:51.232640+00:00
2018-08-14,909.0,927.0,835.0,910.0,2210,910.0,2026-09-03T19:34:51.232640+00:00
2018-08-15,892.0,909.0,875.0,903.0,1090,903.0,2026-09-03T19:34:51.232640+00:00
2018-08-16,905.0,925.0,890.0,896.0,1330,896.0,2026-09-03T19:34:51.232640+00:00
2018-08-19,880.0,880.0,864.0,864.0,570,864.0,2026-09-03T19:34:51.232640+00:00
2018-08-20,850.0,850.0,815.0,823.0,750,823.0,2026-09-03T19:34:51.232640+00:00
2018-08-21,815.0,817.0,791.0,812.0,430,812.0,2026-09-03T19:34:51.232640+00:00
2018-08-22,800.0,815.0,800.0,804.0,430,804.0,2026-09-03T19:34:51.232640+00:00
2018-08-23,820.0,820.0,792.0,792.0,240,792.0,2026-09-03T19:34:51.232640+00:00
2018-08-26,779.0,794.0,777.0,790.0,665,790.0,2026-09-03T19:34:51.232640+00:00
2018-08-28,780.0,788.0,769.0,788.0,1087,788.0,2026-09-03T19:34:51.232640+00:00
2018-08-29,773.0,800.0,772.0,800.0,910,800.0,2026-09-03T19:34:51.232640+00:00
2018-08-30,800.0,820.0,800.0,806.0,344,806.0,2026-09-03T19:34:51.232640+00:00
2018-09-02,815.0,815.0,784.0,802.0,479,802.0,2026-09-03T19:34:51.232640+00:00
2018-09-03,818.0,845.0,802.0,820.0,950,820.0,2026-09-03T19:34:51.232640+00:00
2018-09-04,836.0,836.0,805.0,810.0,100,810.0,2026-09-03T19:34:51.232640+00:00
2018-09-05,815.0,839.0,814.0,814.0,830,814.0,2026-09-03T19:34:51.232640+00:00
2018-09-06,820.0,850.0,820.0,822.0,1540,822.0,2026-09-03T19:34:51.232640+00:00
2018-09-09,807.0,822.0,807.0,810.0,130,810.0,2026-09-03T19:34:51.232640+00:00
2018-09-10,810.0,888.0,810.0,888.0,1717,888.0,2026-09-03T19:34:51.232640+00:00
2018-09-11,902.0,920.0,882.0,899.0,1590,899.0,2026-09-03T19:34:51.232640+00:00
2018-09-12,915.0,915.0,883.0,905.0,560,905.0,2026-09-03T19:34:51.232640+00:00
2018-09-13,887.0,905.0,887.0,890.0,80,890.0,2026-09-03T19:34:51.232640+00:00
2018-09-16,890.0,900.0,873.0,900.0,200,900.0,2026-09-03T19:34:51.232640+00:00
2018-09-17,883.0,883.0,882.0,882.0,40,882.0,2026-09-03T19:34:51.232640+00:00
2018-09-18,899.0,899.0,866.0,875.0,214,875.0,2026-09-03T19:34:51.232640+00:00
2018-09-20,875.0,875.0,861.0,865.0,80,865.0,2026-09-03T19:34:51.232640+00:00
2018-09-23,863.0,888.0,855.0,872.0,320,872.0,2026-09-03T19:34:51.232640+00:00
2018-09-25,889.0,889.0,888.0,889.0,40,889.0,2026-09-03T19:34:51.232640+00:00
2018-09-26,872.0,872.0,855.0,861.0,70,861.0,2026-09-03T19:34:51.232640+00:00
2018-09-27,861.0,879.0,860.0,860.0,175,860.0,2026-09-03T19:34:51.232640+00:00
2018-09-30,852.0,852.0,824.0,842.0,200,842.0,2026-09-03T19:34:51.232640+00:00
2018-10-01,858.0,858.0,827.0,827.0,160,827.0,2026-09-03T19:34:51.232640+00:00
2018-10-02,827.0,839.0,817.0,817.0,110,817.0,2026-09-03T19:34:51.232640+00:00
2018-10-03,802.0,830.0,802.0,816.0,170,816.0,2026-09-03T19:34:51.232640+00:00
2018-10-04,801.0,836.0,801.0,821.0,1000,821.0,2026-09-03T19:34:51.232640+00:00
2018-10-07,837.0,837.0,806.0,837.0,870,837.0,2026-09-03T19:34:51.232640+00:00
2018-10-08,821.0,837.0,808.0,820.0,300,820.0,2026-09-03T19:34:51.232640+00:00
2018-10-09,805.0,814.0,802.0,802.0,210,802.0,2026-09-03T19:34:51.232640+00:00
2018-10-10,800.0,801.0,791.0,801.0,130,801.0,2026-09-03T19:34:51.232640+00:00
2018-10-11,800.0,810.0,790.0,810.0,190,810.0,2026-09-03T19:34:51.232640+00:00
2018-10-14,801.0,826.0,801.0,807.0,330,807.0,2026-09-03T19:34:51.232640+00:00
2018-10-15,795.0,803.0,795.0,803.0,70,803.0,2026-09-03T19:34:51.232640+00:00
2018-10-29,803.0,803.0,762.0,763.0,150,763.0,2026-09-03T19:34:51.232640+00:00
2018-10-30,752.0,767.0,752.0,755.0,160,755.0,2026-09-03T19:34:51.232640+00:00
2018-10-31,741.0,745.0,724.0,729.0,813,729.0,2026-09-03T19:34:51.232640+00:00
2018-11-01,729.0,755.0,729.0,755.0,1067,755.0,2026-09-03T19:34:51.232640+00:00
2018-11-04,740.0,748.0,734.0,735.0,90,735.0,2026-09-03T19:34:51.232640+00:00
2018-11-05,735.0,763.0,735.0,751.0,183,751.0,2026-09-03T19:34:51.232640+00:00
2018-11-06,751.0,735.0,735.0,730.0,10,730.0,2026-09-03T19:34:51.232640+00:00
2018-11-11,730.0,744.0,730.0,744.0,10,744.0,2026-09-03T19:34:51.232640+00:00
2018-11-12,750.0,758.0,743.0,743.0,260,743.0,2026-09-03T19:34:51.232640+00:00
2018-11-13,743.0,743.0,743.0,743.0,40,743.0,2026-09-03T19:34:51.232640+00:00
2018-11-14,729.0,757.0,729.0,757.0,80,757.0,2026-09-03T19:34:51.232640+00:00
2018-11-15,750.0,750.0,742.0,742.0,150,742.0,2026-09-03T19:34:51.232640+00:00
2018-11-18,743.0,750.0,699.0,699.0,150,699.0,2026-09-03T19:34:51.232640+00:00
2018-11-19,688.0,700.0,688.0,691.0,80,691.0,2026-09-03T19:34:51.232640+00:00
2018-11-20,691.0,691.0,685.0,690.0,110,690.0,2026-09-03T19:34:51.232640+00:00
2018-11-21,690.0,703.0,682.0,686.0,80,686.0,2026-09-03T19:34:51.232640+00:00
2018-11-22,673.0,690.0,665.0,677.0,130,677.0,2026-09-03T19:34:51.232640+00:00
2018-11-25,664.0,665.0,645.0,650.0,90,650.0,2026-09-03T19:34:51.232640+00:00
2018-11-26,640.0,642.0,637.0,637.0,100,637.0,2026-09-03T19:34:51.232640+00:00
2018-11-27,635.0,635.0,630.0,631.0,620,631.0,2026-09-03T19:34:51.232640+00:00
2018-11-28,635.0,640.0,633.0,633.0,90,633.0,2026-09-03T19:34:51.232640+00:00
2018-11-29,633.0,640.0,621.0,630.0,260,630.0,2026-09-03T19:34:51.232640+00:00
2018-12-02,630.0,630.0,618.0,630.0,640,630.0,2026-09-03T19:34:51.232640+00:00
