date,open,high,low,close,volume,adj_close,fetched_at
2019-06-17,276.0,281.0,276.0,281.0,20,281.0,2026-09-03T19:35:07.875580+00:00
2019-06-24,295.0,295.0,295.0,295.0,10,295.0,2026-09-03T19:35:07.875580+00:00
2019-06-26,309.0,309.0,309.0,309.0,10,309.0,2026-09-03T19:35:07.875580+00:00
2019-06-30,324.0,339.0,324.0,339.0,70,339.0,2026-09-03T19:35:07.875580+00:00
2019-07-01,355.0,355.0,355.0,355.0,10,355.0,2026-09-03T19:35:07.875580+00:00
2019-07-03,372.0,379.0,372.0,379.0,20,379.0,2026-09-03T19:35:07.875580+00:00
2019-07-04,397.0,416.0,397.0,416.0,50,416.0,2026-09-03T19:35:07.875580+00:00
2019-07-07,436.0,457.0,436.0,457.0,4077,457.0,2026-09-03T19:35:07.875580+00:00
2019-07-08,479.0,490.0,450.0,465.0,9483,465.0,2026-09-03T19:35:07.875580+00:00
2019-07-09,464.0,479.0,461.0,478.0,3110,478.0,2026-09-03T19:35:07.875580+00:00
2019-07-10,470.0,475.0,464.0,465.0,1230,465.0,2026-09-03T19:35:07.875580+00:00
2019-07-11,459.0,469.0,459.0,466.0,1800,466.0,2026-09-03T19:35:07.875580+00:00
2019-07-14,466.0,470.0,462.0,465.0,1400,465.0,2026-09-03T19:35:07.875580+00:00
2019-07-15,470.0,475.0,465.0,472.0,850,472.0,2026-09-03T19:35:07.875580+00:00
2019-07-16,472.0,480.0,465.0,471.0,550,471.0,2026-09-03T19:35:07.875580+00:00
2019-07-17,464.0,479.0,464.0,475.0,770,475.0,2026-09-03T19:35:07.875580+00:00
2019-07-18,475.0,484.0,473.0,473.0,360,473.0,2026-09-03T19:35:07.875580+00:00
2019-07-21,465.0,499.0,465.0,499.0,1668,499.0,2026-09-03T19:35:07.875580+00:00
2019-07-22,493.0,520.0,484.0,493.0,895,493.0,2026-09-03T19:35:07.875580+00:00
2019-07-23,517.0,517.0,481.0,494.0,1340,494.0,2026-09-03T19:35:07.875580+00:00
2019-07-24,487.0,519.0,487.0,519.0,3478,519.0,2026-09-03T19:35:07.875580+00:00
2019-07-25,510.0,531.0,494.0,516.0,8690,516.0,2026-09-03T19:35:07.875580+00:00
