date,open,high,low,close,volume,adj_close,fetched_at
2023-03-27,391.0,430.1,391.0,430.1,1220,430.1,2026-09-03T19:36:19.728932+00:00
2023-03-28,438.7,473.1,438.7,473.1,1120,473.1,2026-09-03T19:36:19.728932+00:00
2023-03-29,480.0,520.4,480.0,520.4,2500,520.4,2026-09-03T19:36:19.728932+00:00
2023-03-30,530.8,572.4,530.8,572.4,5950,572.4,2026-09-03T19:36:19.728932+00:00
2023-04-02,580.0,629.6,579.0,585.0,37769,585.0,2026-09-03T19:36:19.728932+00:00
2023-04-03,575.0,576.0,550.2,560.1,26213,560.1,2026-09-03T19:36:19.728932+00:00
2023-04-04,549.0,611.0,548.9,577.0,8930,577.0,2026-09-03T19:36:19.728932+00:00
2023-04-05,572.0,601.5,570.0,598.9,8391,598.9,2026-09-03T19:36:19.728932+00:00
2023-04-06,590.1,599.0,583.0,586.9,5259,586.9,2026-09-03T19:36:19.728932+00:00
2023-04-09,578.0,580.0,560.0,560.0,11750,560.0,2026-09-03T19:36:19.728932+00:00
2023-04-10,560.0,577.0,560.0,570.0,3660,570.0,2026-09-03T19:36:19.728932+00:00
2023-04-11,560.2,580.0,560.2,579.9,2983,579.9,2026-09-03T19:36:19.728932+00:00
2023-04-12,570.1,599.0,570.1,588.0,4623,588.0,2026-09-03T19:36:19.728932+00:00
2023-04-13,588.0,588.5,570.1,570.1,5773,570.1,2026-09-03T19:36:19.728932+00:00
2023-04-16,570.1,587.5,569.9,574.0,5025,574.0,2026-09-03T19:36:19.728932+00:00
2023-04-17,563.1,580.0,563.1,575.0,8530,575.0,2026-09-03T19:36:19.728932+00:00
2023-04-18,585.0,586.5,560.0,569.8,6700,569.8,2026-09-03T19:36:19.728932+00:00
2023-04-19,568.0,570.9,560.0,563.0,1830,563.0,2026-09-03T19:36:19.728932+00:00
2023-04-20,552.1,571.0,552.1,569.9,8395,569.9,2026-09-03T19:36:19.728932+00:00
2023-04-23,559.1,568.9,550.1,568.9,7820,568.9,2026-09-03T19:36:19.728932+00:00
2023-04-24,557.6,566.0,550.2,560.1,2552,560.1,2026-09-03T19:36:19.728932+00:00
2023-04-25,552.0,569.8,542.3,569.8,4498,569.8,2026-09-03T19:36:19.728932+00:00
2023-04-26,578.5,578.5,555.0,560.1,6570,560.1,2026-09-03T19:36:19.728932+00:00
2023-04-27,549.2,563.0,549.2,563.0,2935,563.0,2026-09-03T19:36:19.728932+00:00
2023-04-30,555.0,558.0,545.2,545.2,3883,545.2,2026-09-03T19:36:19.728932+00:00
2023-05-02,540.1,548.3,540.1,548.3,810,548.3,2026-09-03T19:36:19.728932+00:00
2023-05-03,538.0,545.0,538.0,538.4,670,538.4,2026-09-03T19:36:19.728932+00:00
2023-05-04,528.1,549.0,528.1,549.0,1195,549.0,2026-09-03T19:36:19.728932+00:00
2023-05-07,538.1,550.0,510.0,550.0,2250,550.0,2026-09-03T19:36:19.728932+00:00
2023-05-08,539.0,539.5,520.0,539.5,1560,539.5,2026-09-03T19:36:19.728932+00:00
2023-05-09,545.0,545.0,530.0,533.3,1620,533.3,2026-09-03T19:36:19.728932+00:00
2023-05-10,532.0,550.0,527.0,550.0,4170,550.0,2026-09-03T19:36:19.728932+00:00
2023-05-11,539.0,554.0,530.2,554.0,3180,554.0,2026-09-03T19:36:19.728932+00:00
2023-05-14,554.0,559.8,536.0,545.0,6839,545.0,2026-09-03T19:36:19.728932+00:00
2023-05-15,535.0,540.6,527.1,540.6,910,540.6,2026-09-03T19:36:19.728932+00:00
2023-05-16,532.0,540.0,530.0,540.0,1030,540.0,2026-09-03T19:36:19.728932+00:00
2023-05-17,535.0,548.0,535.0,548.0,5148,548.0,2026-09-03T19:36:19.728932+00:00
2023-05-18,537.1,554.9,537.1,552.0,2710,552.0,2026-09-03T19:36:19.728932+00:00
2023-05-21,542.0,560.0,541.0,550.0,5816,550.0,2026-09-03T19:36:19.728932+00:00
2023-05-22,541.0,547.0,538.1,543.3,1250,543.3,2026-09-03T19:36:19.728932+00:00
2023-05-23,540.1,561.2,540.1,558.1,4290,558.1,2026-09-03T19:36:19.728932+00:00
2023-05-24,547.0,564.8,547.0,557.0,2520,557.0,2026-09-03T19:36:19.728932+00:00
