date,open,high,low,close,volume,adj_close,fetched_at
2023-03-05,299.0,328.9,299.0,328.9,6650,328.9,2026-09-03T19:36:18.407577+00:00
2023-03-07,335.4,361.7,335.4,361.7,14850,361.7,2026-09-03T19:36:18.407577+00:00
2023-03-09,368.9,391.0,355.0,381.0,68817,381.0,2026-09-03T19:36:18.407577+00:00
2023-03-12,381.0,382.0,363.1,364.2,63702,364.2,2026-09-03T19:36:18.407577+00:00
2023-03-13,364.0,364.0,345.0,354.0,29842,354.0,2026-09-03T19:36:18.407577+00:00
2023-03-14,349.0,389.4,349.0,387.0,45140,387.0,2026-09-03T19:36:18.407577+00:00
2023-03-15,379.3,388.1,375.7,387.2,33952,387.2,2026-09-03T19:36:18.407577+00:00
2023-03-16,379.5,406.8,379.5,401.0,46216,401.0,2026-09-03T19:36:18.407577+00:00
2023-03-19,403.0,406.5,389.0,399.0,31720,399.0,2026-09-03T19:36:18.407577+00:00
2023-03-20,395.0,405.2,392.1,401.0,26018,401.0,2026-09-03T19:36:18.407577+00:00
2023-03-22,409.0,425.4,403.0,403.1,39330,403.1,2026-09-03T19:36:18.407577+00:00
2023-03-23,411.0,411.0,391.0,391.5,25112,391.5,2026-09-03T19:36:18.407577+00:00
2023-03-26,399.3,400.0,384.0,390.0,22001,390.0,2026-09-03T19:36:18.407577+00:00
2023-03-27,397.0,397.0,377.0,392.2,17065,392.2,2026-09-03T19:36:18.407577+00:00
2023-03-28,400.0,403.0,387.1,392.0,26098,392.0,2026-09-03T19:36:18.407577+00:00
2023-03-29,399.0,399.0,383.3,394.8,28707,394.8,2026-09-03T19:36:18.407577+00:00
2023-03-30,394.9,398.0,387.3,395.0,16967,395.0,2026-09-03T19:36:18.407577+00:00
2023-04-02,395.0,395.0,379.9,385.0,20541,385.0,2026-09-03T19:36:18.407577+00:00
2023-04-03,377.3,383.0,370.0,374.1,15636,374.1,2026-09-03T19:36:18.407577+00:00
2023-04-04,367.0,398.0,367.0,380.0,14200,380.0,2026-09-03T19:36:18.407577+00:00
2023-04-05,375.0,383.0,370.2,380.0,12324,380.0,2026-09-03T19:36:18.407577+00:00
2023-04-06,372.7,383.0,372.7,380.0,7990,380.0,2026-09-03T19:36:18.407577+00:00
2023-04-09,372.5,374.0,367.3,372.0,8500,372.0,2026-09-03T19:36:18.407577+00:00
2023-04-10,365.0,374.0,365.0,374.0,9000,374.0,2026-09-03T19:36:18.407577+00:00
2023-04-11,368.0,389.0,368.0,381.5,5901,381.5,2026-09-03T19:36:18.407577+00:00
2023-04-12,380.0,407.0,378.0,399.0,18844,399.0,2026-09-03T19:36:18.407577+00:00
2023-04-13,391.2,420.0,385.1,390.0,23436,390.0,2026-09-03T19:36:18.407577+00:00
2023-04-16,383.0,399.0,375.4,385.1,7015,385.1,2026-09-03T19:36:18.407577+00:00
