date,open,high,low,close,volume,adj_close,fetched_at
2023-04-13,334.0,367.4,330.0,340.0,92899,340.0,2026-09-03T19:36:25.057381+00:00
2023-04-16,345.0,346.0,313.6,317.0,84870,317.0,2026-09-03T19:36:25.057381+00:00
2023-04-17,320.0,332.9,305.0,308.2,35248,308.2,2026-09-03T19:36:25.057381+00:00
2023-04-18,305.0,311.0,299.0,307.2,45046,307.2,2026-09-03T19:36:25.057381+00:00
2023-04-19,306.0,314.0,303.1,311.0,28467,311.0,2026-09-03T19:36:25.057381+00:00
2023-04-20,317.2,317.2,305.0,305.0,23322,305.0,2026-09-03T19:36:25.057381+00:00
2023-04-23,300.0,302.8,292.3,294.9,32757,294.9,2026-09-03T19:36:25.057381+00:00
2023-04-24,291.0,297.0,286.1,286.5,30945,286.5,2026-09-03T19:36:25.057381+00:00
2023-04-25,280.8,297.9,274.7,296.8,47220,296.8,2026-09-03T19:36:25.057381+00:00
2023-04-26,291.0,295.5,285.0,287.8,20429,287.8,2026-09-03T19:36:25.057381+00:00
2023-04-27,287.0,290.0,278.6,283.8,21190,283.8,2026-09-03T19:36:25.057381+00:00
2023-04-30,282.0,283.0,274.1,274.1,27513,274.1,2026-09-03T19:36:25.057381+00:00
2023-05-02,279.5,281.0,264.0,266.9,16688,266.9,2026-09-03T19:36:25.057381+00:00
2023-05-03,262.1,267.0,256.1,257.1,28671,257.1,2026-09-03T19:36:25.057381+00:00
2023-05-04,253.0,264.8,253.0,263.0,21956,263.0,2026-09-03T19:36:25.057381+00:00
2023-05-07,258.0,263.0,251.0,252.0,24149,252.0,2026-09-03T19:36:25.057381+00:00
2023-05-08,249.9,253.0,241.0,244.9,20007,244.9,2026-09-03T19:36:25.057381+00:00
2023-05-09,240.3,254.0,238.2,251.0,18494,251.0,2026-09-03T19:36:25.057381+00:00
2023-05-10,250.9,251.9,243.2,245.5,16126,245.5,2026-09-03T19:36:25.057381+00:00
2023-05-11,245.0,251.0,242.3,245.0,12747,245.0,2026-09-03T19:36:25.057381+00:00
2023-05-14,245.0,248.0,240.3,240.3,15690,240.3,2026-09-03T19:36:25.057381+00:00
2023-05-15,237.1,245.8,233.2,240.0,19225,240.0,2026-09-03T19:36:25.057381+00:00
2023-05-16,235.6,244.9,235.6,244.9,18675,244.9,2026-09-03T19:36:25.057381+00:00
2023-05-17,241.0,253.0,241.0,253.0,22184,253.0,2026-09-03T19:36:25.057381+00:00
2023-05-18,253.0,267.0,248.0,264.9,21462,264.9,2026-09-03T19:36:25.057381+00:00
2023-05-21,260.0,269.4,255.3,256.1,38296,256.1,2026-09-03T19:36:25.057381+00:00
2023-05-22,252.0,263.0,251.0,258.0,19748,258.0,2026-09-03T19:36:25.057381+00:00
2023-05-23,258.0,276.4,257.0,271.0,37038,271.0,2026-09-03T19:36:25.057381+00:00
2023-05-24,271.0,275.5,263.4,275.5,28270,275.5,2026-09-03T19:36:25.057381+00:00
2023-05-28,275.5,279.0,263.0,264.2,40282,264.2,2026-09-03T19:36:25.057381+00:00
2023-05-30,259.1,266.0,252.0,253.0,33105,253.0,2026-09-03T19:36:25.057381+00:00
2023-05-31,248.0,258.0,245.0,248.4,20305,248.4,2026-09-03T19:36:25.057381+00:00
2023-06-01,248.0,260.0,244.2,253.5,24047,253.5,2026-09-03T19:36:25.057381+00:00
2023-06-04,248.5,273.0,248.5,268.7,24815,268.7,2026-09-03T19:36:25.057381+00:00
2023-06-05,264.0,279.0,260.0,265.0,39737,265.0,2026-09-03T19:36:25.057381+00:00
2023-06-06,260.1,273.0,260.1,271.0,20467,271.0,2026-09-03T19:36:25.057381+00:00
2023-06-07,271.0,295.0,270.0,285.0,136728,285.0,2026-09-03T19:36:25.057381+00:00
2023-06-08,279.5,294.0,277.5,283.0,50257,283.0,2026-09-03T19:36:25.057381+00:00
2023-06-11,288.0,301.0,281.0,300.0,54509,300.0,2026-09-03T19:36:25.057381+00:00
2023-06-12,300.0,301.0,287.0,288.3,40081,288.3,2026-09-03T19:36:25.057381+00:00
2023-06-13,288.0,298.0,283.0,293.0,30956,293.0,2026-09-03T19:36:25.057381+00:00
2023-06-14,293.0,303.0,280.0,287.0,69090,287.0,2026-09-03T19:36:25.057381+00:00
2023-06-15,282.1,296.0,282.1,285.0,38097,285.0,2026-09-03T19:36:25.057381+00:00
2023-06-18,290.0,306.0,286.1,302.0,55954,302.0,2026-09-03T19:36:25.057381+00:00
2023-06-19,296.0,308.0,291.3,291.3,62490,291.3,2026-09-03T19:36:25.057381+00:00
2023-06-20,291.0,297.2,278.0,278.0,32279,278.0,2026-09-03T19:36:25.057381+00:00
2023-06-21,282.0,286.0,272.0,273.2,29525,273.2,2026-09-03T19:36:25.057381+00:00
2023-06-22,275.0,278.0,266.0,266.2,21498,266.2,2026-09-03T19:36:25.057381+00:00
2023-06-25,262.0,276.0,261.1,273.0,48904,273.0,2026-09-03T19:36:25.057381+00:00
2023-06-26,273.0,288.0,270.0,270.2,27404,270.2,2026-09-03T19:36:25.057381+00:00
2023-06-27,270.0,277.0,266.0,276.0,25457,276.0,2026-09-03T19:36:25.057381+00:00
2023-06-28,275.1,277.0,266.0,267.9,25080,267.9,2026-09-03T19:36:25.057381+00:00
2023-07-02,268.0,269.8,256.2,256.2,20566,256.2,2026-09-03T19:36:25.057381+00:00
2023-07-03,252.0,270.0,252.0,252.5,30917,252.5,2026-09-03T19:36:25.057381+00:00
2023-07-04,252.0,261.5,250.0,256.2,18428,256.2,2026-09-03T19:36:25.057381+00:00
2023-07-05,256.0,262.2,248.0,250.1,24050,250.1,2026-09-03T19:36:25.057381+00:00
2023-07-06,250.0,255.0,245.1,252.0,24770,252.0,2026-09-03T19:36:25.057381+00:00
2023-07-09,250.0,260.3,250.0,254.0,14293,254.0,2026-09-03T19:36:25.057381+00:00
2023-07-10,250.3,258.5,248.0,252.0,20082,252.0,2026-09-03T19:36:25.057381+00:00
2023-07-11,257.0,257.0,245.1,247.5,10294,247.5,2026-09-03T19:36:25.057381+00:00
2023-07-12,246.0,269.0,245.0,262.9,16747,262.9,2026-09-03T19:36:25.057381+00:00
2023-07-13,260.0,263.0,254.0,254.2,24484,254.2,2026-09-03T19:36:25.057381+00:00
2023-07-16,250.2,255.0,248.1,250.0,11297,250.0,2026-09-03T19:36:25.057381+00:00
2023-07-17,254.0,257.1,247.0,254.0,13214,254.0,2026-09-03T19:36:25.057381+00:00
2023-07-18,254.0,259.0,250.2,255.0,13685,255.0,2026-09-03T19:36:25.057381+00:00
2023-07-19,250.1,253.1,247.0,248.1,15846,248.1,2026-09-03T19:36:25.057381+00:00
2023-07-20,245.0,257.0,245.0,252.3,16464,252.3,2026-09-03T19:36:25.057381+00:00
2023-07-23,250.0,260.1,250.0,256.0,18978,256.0,2026-09-03T19:36:25.057381+00:00
2023-07-24,256.0,262.4,253.1,253.5,23672,253.5,2026-09-03T19:36:25.057381+00:00
2023-07-25,250.1,257.0,250.1,253.5,11580,253.5,2026-09-03T19:36:25.057381+00:00
2023-07-26,250.0,257.0,250.0,254.1,10848,254.1,2026-09-03T19:36:25.057381+00:00
2023-07-27,255.0,255.0,248.0,249.8,11700,249.8,2026-09-03T19:36:25.057381+00:00
2023-07-30,254.0,254.0,242.0,242.0,20384,242.0,2026-09-03T19:36:25.057381+00:00
2023-07-31,242.0,248.0,241.2,244.0,13070,244.0,2026-09-03T19:36:25.057381+00:00
2023-08-01,241.1,247.0,236.7,240.0,20344,240.0,2026-09-03T19:36:25.057381+00:00
2023-08-02,236.7,242.0,236.7,241.0,9455,241.0,2026-09-03T19:36:25.057381+00:00
2023-08-03,242.0,246.3,239.0,246.0,17443,246.0,2026-09-03T19:36:25.057381+00:00
2023-08-06,241.1,245.0,235.1,237.9,10648,237.9,2026-09-03T19:36:25.057381+00:00
2023-08-07,234.5,248.0,234.2,236.0,14558,236.0,2026-09-03T19:36:25.057381+00:00
2023-08-08,236.0,240.0,232.0,232.1,9965,232.1,2026-09-03T19:36:25.057381+00:00
2023-08-09,231.0,246.0,226.4,245.9,18460,245.9,2026-09-03T19:36:25.057381+00:00
2023-08-10,242.0,250.2,239.0,250.2,10519,250.2,2026-09-03T19:36:25.057381+00:00
2023-08-13,245.3,259.0,241.2,259.0,27771,259.0,2026-09-03T19:36:25.057381+00:00
2023-08-14,254.0,254.0,244.1,250.9,17267,250.9,2026-09-03T19:36:25.057381+00:00
2023-08-15,245.9,247.0,239.0,243.0,19300,243.0,2026-09-03T19:36:25.057381+00:00
2023-08-16,238.2,239.0,230.1,234.0,15292,234.0,2026-09-03T19:36:25.057381+00:00
2023-08-17,232.1,247.5,232.1,247.5,15355,247.5,2026-09-03T19:36:25.057381+00:00
2023-08-20,247.5,247.5,233.1,234.8,13373,234.8,2026-09-03T19:36:25.057381+00:00
2023-08-21,239.4,243.8,228.0,233.5,19960,233.5,2026-09-03T19:36:25.057381+00:00
2023-08-22,228.9,236.1,226.8,236.1,18815,236.1,2026-09-03T19:36:25.057381+00:00
2023-08-23,232.1,245.0,232.1,243.0,11875,243.0,2026-09-03T19:36:25.057381+00:00
2023-08-24,240.0,240.0,234.1,237.8,7647,237.8,2026-09-03T19:36:25.057381+00:00
2023-08-27,233.1,233.1,228.1,230.0,9791,230.0,2026-09-03T19:36:25.057381+00:00
2023-08-28,230.0,239.2,225.5,231.0,9555,231.0,2026-09-03T19:36:25.057381+00:00
2023-08-29,226.4,232.5,226.4,230.0,4655,230.0,2026-09-03T19:36:25.057381+00:00
2023-08-30,227.0,231.5,226.2,229.0,5560,229.0,2026-09-03T19:36:25.057381+00:00
2023-09-03,225.0,225.1,220.2,223.0,9809,223.0,2026-09-03T19:36:25.057381+00:00
2023-09-04,218.8,226.0,216.0,226.0,12833,226.0,2026-09-03T19:36:25.057381+00:00
2023-09-05,221.5,225.9,218.2,220.5,7685,220.5,2026-09-03T19:36:25.057381+00:00
2023-09-07,217.0,220.8,215.1,219.0,6925,219.0,2026-09-03T19:36:25.057381+00:00
2023-09-10,215.0,224.0,215.0,222.0,6995,222.0,2026-09-03T19:36:25.057381+00:00
2023-09-11,222.0,242.7,218.0,240.0,35855,240.0,2026-09-03T19:36:25.057381+00:00
2023-09-12,244.8,244.8,226.0,230.0,19860,230.0,2026-09-03T19:36:25.057381+00:00
2023-09-13,230.9,244.7,229.1,241.0,27214,241.0,2026-09-03T19:36:25.057381+00:00
2023-09-17,237.0,239.6,228.5,230.9,19540,230.9,2026-09-03T19:36:25.057381+00:00
2023-09-18,226.3,235.3,222.3,234.5,9687,234.5,2026-09-03T19:36:25.057381+00:00
2023-09-19,230.0,244.6,230.0,243.0,28565,243.0,2026-09-03T19:36:25.057381+00:00
2023-09-21,247.8,267.2,240.0,264.0,65254,264.0,2026-09-03T19:36:25.057381+00:00
2023-09-24,260.0,267.0,252.1,259.5,54290,259.5,2026-09-03T19:36:25.057381+00:00
2023-09-25,254.4,263.0,251.0,259.8,44824,259.8,2026-09-03T19:36:25.057381+00:00
2023-09-26,260.0,268.5,257.0,267.7,54799,267.7,2026-09-03T19:36:25.057381+00:00
2023-09-27,271.0,271.0,252.3,259.0,47585,259.0,2026-09-03T19:36:25.057381+00:00
2023-10-01,253.9,260.0,246.4,255.0,67721,255.0,2026-09-03T19:36:25.057381+00:00
2023-10-02,255.0,265.0,249.0,264.9,42105,264.9,2026-09-03T19:36:25.057381+00:00
2023-10-03,260.0,270.0,255.3,261.0,33025,261.0,2026-09-03T19:36:25.057381+00:00
2023-10-04,266.0,266.0,256.0,262.9,39140,262.9,2026-09-03T19:36:25.057381+00:00
2023-10-05,259.0,265.0,258.3,260.8,22951,260.8,2026-09-03T19:36:25.057381+00:00
2023-10-08,256.1,260.0,241.3,245.7,36159,245.7,2026-09-03T19:36:25.057381+00:00
2023-10-09,241.2,250.6,239.2,244.0,21591,244.0,2026-09-03T19:36:25.057381+00:00
2023-10-10,240.0,243.0,238.2,242.0,14667,242.0,2026-09-03T19:36:25.057381+00:00
2023-10-11,242.0,246.8,238.0,240.0,18754,240.0,2026-09-03T19:36:25.057381+00:00
2023-10-12,240.0,244.8,231.6,239.6,18149,239.6,2026-09-03T19:36:25.057381+00:00
2023-10-16,235.1,237.0,231.0,237.0,15721,237.0,2026-09-03T19:36:25.057381+00:00
2023-10-17,232.5,241.0,232.5,237.9,8740,237.9,2026-09-03T19:36:25.057381+00:00
2023-10-18,233.6,255.0,233.6,255.0,49227,255.0,2026-09-03T19:36:25.057381+00:00
2023-10-19,259.0,259.0,240.0,251.2,9133,251.2,2026-09-03T19:36:25.057381+00:00
2023-10-29,249.0,249.0,235.1,244.0,9276,244.0,2026-09-03T19:36:25.057381+00:00
2023-10-30,239.2,245.3,231.1,245.3,7265,245.3,2026-09-03T19:36:25.057381+00:00
2023-10-31,240.4,242.0,232.1,242.0,9561,242.0,2026-09-03T19:36:25.057381+00:00
2023-11-01,237.2,254.0,233.0,241.5,5562,241.5,2026-09-03T19:36:25.057381+00:00
2023-11-02,245.0,246.3,232.0,239.7,10595,239.7,2026-09-03T19:36:25.057381+00:00
2023-11-05,235.0,235.0,230.0,233.0,3925,233.0,2026-09-03T19:36:25.057381+00:00
2023-11-06,229.6,239.0,225.5,239.0,7972,239.0,2026-09-03T19:36:25.057381+00:00
2023-11-07,234.3,238.4,232.0,238.0,43450,238.0,2026-09-03T19:36:25.057381+00:00
2023-11-08,235.5,238.8,233.5,238.8,12610,238.8,2026-09-03T19:36:25.057381+00:00
2023-11-09,238.8,248.0,238.8,242.0,26374,242.0,2026-09-03T19:36:25.057381+00:00
2023-11-20,241.1,247.8,236.6,242.9,10070,242.9,2026-09-03T19:36:25.057381+00:00
2023-11-21,238.1,240.2,233.4,240.0,5577,240.0,2026-09-03T19:36:25.057381+00:00
2023-11-22,236.0,247.9,231.4,247.9,13898,247.9,2026-09-03T19:36:25.057381+00:00
2023-11-23,247.9,262.0,231.0,260.0,25521,260.0,2026-09-03T19:36:25.057381+00:00
2023-11-26,265.0,266.0,253.0,266.0,74635,266.0,2026-09-03T19:36:25.057381+00:00
2023-11-27,261.0,266.2,255.8,260.8,21603,260.8,2026-09-03T19:36:25.057381+00:00
2023-11-28,260.8,275.0,256.0,262.0,18782,262.0,2026-09-03T19:36:25.057381+00:00
2023-11-29,267.2,270.0,253.0,257.0,36302,257.0,2026-09-03T19:36:25.057381+00:00
2023-11-30,252.1,258.0,245.0,250.0,23280,250.0,2026-09-03T19:36:25.057381+00:00
2023-12-03,245.0,252.0,242.1,247.0,11138,247.0,2026-09-03T19:36:25.057381+00:00
2023-12-04,250.0,255.0,242.1,252.0,18925,252.0,2026-09-03T19:36:25.057381+00:00
2023-12-05,257.0,257.0,238.2,252.0,8560,252.0,2026-09-03T19:36:25.057381+00:00
2023-12-06,247.0,250.0,242.3,245.4,8440,245.4,2026-09-03T19:36:25.057381+00:00
2023-12-07,241.0,255.0,241.0,249.0,26876,249.0,2026-09-03T19:36:25.057381+00:00
2023-12-10,249.0,273.6,249.0,263.0,680,263.0,2026-09-03T19:36:25.057381+00:00
2023-12-11,268.0,268.2,253.9,260.0,88957,260.0,2026-09-03T19:36:25.057381+00:00
2023-12-12,265.2,274.0,255.0,269.0,106252,269.0,2026-09-03T19:36:25.057381+00:00
2023-12-13,269.9,283.9,269.9,278.0,90321,278.0,2026-09-03T19:36:25.057381+00:00
2023-12-14,275.0,289.8,273.0,287.0,93227,287.0,2026-09-03T19:36:25.057381+00:00
2023-12-17,285.0,315.7,275.7,315.7,216299,315.7,2026-09-03T19:36:25.057381+00:00
2023-12-18,322.0,328.0,306.0,312.0,156986,312.0,2026-09-03T19:36:25.057381+00:00
2023-12-19,310.0,324.0,297.0,324.0,134993,324.0,2026-09-03T19:36:25.057381+00:00
2023-12-20,329.0,329.0,313.0,316.6,112850,316.6,2026-09-03T19:36:25.057381+00:00
2023-12-21,311.0,336.0,311.0,323.0,173251,323.0,2026-09-03T19:36:25.057381+00:00
2023-12-24,319.0,347.0,318.0,335.1,266890,335.1,2026-09-03T19:36:25.057381+00:00
2023-12-27,335.0,365.1,335.0,352.0,214353,352.0,2026-09-03T19:36:25.057381+00:00
2023-12-28,359.0,359.9,346.0,346.0,121678,346.0,2026-09-03T19:36:25.057381+00:00
2024-01-01,346.0,356.0,325.9,329.0,95296,329.0,2026-09-03T19:36:25.057381+00:00
2024-01-02,329.0,343.3,325.0,335.3,121837,335.3,2026-09-03T19:36:25.057381+00:00
2024-01-03,335.0,364.6,335.0,364.6,200902,364.6,2026-09-03T19:36:25.057381+00:00
2024-01-04,371.0,394.0,357.0,368.0,207377,368.0,2026-09-03T19:36:25.057381+00:00
2024-01-07,370.0,379.0,356.0,372.0,241432,372.0,2026-09-03T19:36:25.057381+00:00
2024-01-08,373.0,387.0,369.1,375.5,161435,375.5,2026-09-03T19:36:25.057381+00:00
2024-01-09,375.0,403.0,363.0,371.0,203031,371.0,2026-09-03T19:36:25.057381+00:00
2024-01-10,371.0,378.4,365.0,370.0,94034,370.0,2026-09-03T19:36:25.057381+00:00
2024-01-11,377.4,377.4,364.0,372.0,73469,372.0,2026-09-03T19:36:25.057381+00:00
2024-01-14,372.0,400.0,372.0,383.0,144943,383.0,2026-09-03T19:36:25.057381+00:00
2024-01-16,385.0,393.0,377.5,380.0,175558,380.0,2026-09-03T19:36:25.057381+00:00
2024-01-17,382.0,387.0,360.0,361.0,129822,361.0,2026-09-03T19:36:25.057381+00:00
2024-01-18,355.0,389.8,351.1,367.0,88676,367.0,2026-09-03T19:36:25.057381+00:00
2024-01-21,374.0,381.0,363.0,368.9,103028,368.9,2026-09-03T19:36:25.057381+00:00
2024-01-22,368.0,372.3,353.3,358.0,56837,358.0,2026-09-03T19:36:25.057381+00:00
2024-01-23,353.0,362.1,347.0,353.0,55503,353.0,2026-09-03T19:36:25.057381+00:00
2024-01-24,346.1,362.0,343.0,345.0,43287,345.0,2026-09-03T19:36:25.057381+00:00
2024-01-25,341.1,353.0,341.1,341.1,27874,341.1,2026-09-03T19:36:25.057381+00:00
2024-01-28,335.7,359.0,335.7,353.9,56161,353.9,2026-09-03T19:36:25.057381+00:00
2024-01-29,354.0,374.0,354.0,366.0,105218,366.0,2026-09-03T19:36:25.057381+00:00
2024-01-30,367.0,377.5,362.1,372.0,124598,372.0,2026-09-03T19:36:25.057381+00:00
2024-01-31,379.4,388.6,370.0,376.0,180392,376.0,2026-09-03T19:36:25.057381+00:00
2024-02-01,378.0,378.0,360.0,362.0,67941,362.0,2026-09-03T19:36:25.057381+00:00
2024-02-04,355.1,367.9,355.0,356.3,53948,356.3,2026-09-03T19:36:25.057381+00:00
2024-02-05,356.0,365.0,356.0,360.0,32460,360.0,2026-09-03T19:36:25.057381+00:00
2024-02-06,365.0,367.2,357.0,363.5,34708,363.5,2026-09-03T19:36:25.057381+00:00
2024-02-07,363.5,374.3,360.0,366.5,65900,366.5,2026-09-03T19:36:25.057381+00:00
2024-02-08,363.0,385.0,363.0,380.1,116328,380.1,2026-09-03T19:36:25.057381+00:00
2024-02-11,381.0,395.0,381.0,385.0,188874,385.0,2026-09-03T19:36:25.057381+00:00
