date,open,high,low,close,volume,adj_close,fetched_at
2023-09-21,475.2,522.7,455.0,470.0,431850,470.0,2026-09-03T19:36:41.223930+00:00
2023-09-24,470.0,470.0,455.1,455.9,211689,455.9,2026-09-03T19:36:41.223930+00:00
2023-09-25,460.0,466.0,451.0,459.0,167319,459.0,2026-09-03T19:36:41.223930+00:00
2023-09-26,460.0,484.0,460.0,478.1,160361,478.1,2026-09-03T19:36:41.223930+00:00
2023-09-27,471.0,487.5,471.0,481.0,159205,481.0,2026-09-03T19:36:41.223930+00:00
2023-10-01,480.0,480.0,463.0,464.2,128400,464.2,2026-09-03T19:36:41.223930+00:00
2023-10-02,465.0,470.2,456.1,466.1,82567,466.1,2026-09-03T19:36:41.223930+00:00
2023-10-03,464.0,473.2,460.1,464.0,68260,464.0,2026-09-03T19:36:41.223930+00:00
2023-10-04,455.0,473.0,455.0,468.3,64354,468.3,2026-09-03T19:36:41.223930+00:00
2023-10-05,461.0,470.0,461.0,463.6,65177,463.6,2026-09-03T19:36:41.223930+00:00
2023-10-08,463.0,463.0,453.1,458.0,90905,458.0,2026-09-03T19:36:41.223930+00:00
2023-10-09,452.0,460.0,450.0,454.0,41905,454.0,2026-09-03T19:36:41.223930+00:00
2023-10-10,450.0,459.0,447.2,448.0,42185,448.0,2026-09-03T19:36:41.223930+00:00
2023-10-11,456.9,457.0,445.0,448.2,38735,448.2,2026-09-03T19:36:41.223930+00:00
2023-10-12,445.0,450.0,440.0,440.0,45122,440.0,2026-09-03T19:36:41.223930+00:00
2023-10-16,431.2,440.0,420.0,422.0,48515,422.0,2026-09-03T19:36:41.223930+00:00
2023-10-17,420.0,435.0,418.1,418.9,25545,418.9,2026-09-03T19:36:41.223930+00:00
2023-10-18,418.9,433.0,415.0,426.5,23475,426.5,2026-09-03T19:36:41.223930+00:00
2023-10-19,427.0,432.0,421.0,425.4,19097,425.4,2026-09-03T19:36:41.223930+00:00
2023-10-29,416.9,424.0,415.5,417.4,26553,417.4,2026-09-03T19:36:41.223930+00:00
2023-10-30,410.3,424.0,409.2,413.0,26551,413.0,2026-09-03T19:36:41.223930+00:00
2023-10-31,413.0,416.0,408.1,411.0,20915,411.0,2026-09-03T19:36:41.223930+00:00
2023-11-01,410.0,417.0,409.0,409.5,18526,409.5,2026-09-03T19:36:41.223930+00:00
2023-11-02,409.0,412.0,402.6,404.0,17585,404.0,2026-09-03T19:36:41.223930+00:00
2023-11-05,398.2,404.0,397.0,401.1,17804,401.1,2026-09-03T19:36:41.223930+00:00
2023-11-06,396.2,410.7,396.1,409.9,23605,409.9,2026-09-03T19:36:41.223930+00:00
2023-11-07,403.5,427.9,403.5,424.0,28324,424.0,2026-09-03T19:36:41.223930+00:00
2023-11-08,420.0,438.0,416.1,431.2,38519,431.2,2026-09-03T19:36:41.223930+00:00
2023-11-09,438.5,438.5,423.2,426.8,24638,426.8,2026-09-03T19:36:41.223930+00:00
2023-11-20,428.1,446.0,428.1,436.0,47505,436.0,2026-09-03T19:36:41.223930+00:00
2023-11-21,433.0,444.0,429.0,433.0,29357,433.0,2026-09-03T19:36:41.223930+00:00
2023-11-22,425.0,442.0,425.0,442.0,27128,442.0,2026-09-03T19:36:41.223930+00:00
2023-11-23,436.1,460.0,436.1,455.1,59825,455.1,2026-09-03T19:36:41.223930+00:00
2023-11-26,452.0,480.0,452.0,476.0,107101,476.0,2026-09-03T19:36:41.223930+00:00
2023-11-27,467.0,482.0,465.0,468.5,94185,468.5,2026-09-03T19:36:41.223930+00:00
