date,open,high,low,close,volume,adj_close,fetched_at
2026-06-08,276.5,304.1,276.5,304.1,390,304.1,2026-09-03T19:37:31.407310+00:00
2026-06-09,306.8,349.7,306.8,349.7,200,349.7,2026-09-03T19:37:31.407310+00:00
2026-06-10,351.5,402.1,351.5,402.1,340,402.1,2026-09-03T19:37:31.407310+00:00
2026-06-11,422.2,462.4,422.2,462.4,300,462.4,2026-09-03T19:37:31.407310+00:00
2026-06-12,471.3,531.7,471.3,531.7,380,531.7,2026-09-03T19:37:31.407310+00:00
2026-06-15,550.0,611.4,550.0,611.4,610,611.4,2026-09-03T19:37:31.407310+00:00
2026-06-16,629.5,703.1,629.5,703.1,780,703.1,2026-09-03T19:37:31.407310+00:00
2026-06-17,724.1,808.5,724.1,808.5,860,808.5,2026-09-03T19:37:31.407310+00:00
2026-06-18,848.0,929.7,848.0,929.7,1730,929.7,2026-09-03T19:37:31.407310+00:00
2026-06-19,950.0,1069.1,950.0,1060.0,190900,1060.0,2026-09-03T19:37:31.407310+00:00
2026-06-22,1060.0,1217.0,990.0,1120.0,354195,1120.0,2026-09-03T19:37:31.407310+00:00
2026-06-23,1120.0,1140.1,1033.1,1041.0,178175,1041.0,2026-09-03T19:37:31.407310+00:00
2026-06-24,1041.0,1041.0,981.1,988.4,172660,988.4,2026-09-03T19:37:31.407310+00:00
2026-06-25,988.0,988.8,940.1,966.1,132596,966.1,2026-09-03T19:37:31.407310+00:00
2026-06-26,920.0,985.0,920.0,927.0,102340,927.0,2026-09-03T19:37:31.407310+00:00
2026-06-29,920.0,921.0,885.1,885.3,98158,885.3,2026-09-03T19:37:31.407310+00:00
2026-06-30,850.0,885.3,830.0,833.1,95026,833.1,2026-09-03T19:37:31.407310+00:00
2026-07-01,833.0,885.0,810.5,885.0,69314,885.0,2026-09-03T19:37:31.407310+00:00
2026-07-02,885.0,896.1,851.0,865.0,48210,865.0,2026-09-03T19:37:31.407310+00:00
2026-07-03,865.0,900.0,857.1,881.0,57306,881.0,2026-09-03T19:37:31.407310+00:00
2026-07-06,875.0,885.0,850.0,852.0,46845,852.0,2026-09-03T19:37:31.407310+00:00
2026-07-07,835.1,870.0,835.1,855.0,38411,855.0,2026-09-03T19:37:31.407310+00:00
2026-07-08,855.0,855.0,810.0,827.0,48156,827.0,2026-09-03T19:37:31.407310+00:00
2026-07-09,827.0,850.0,792.5,792.6,39702,792.6,2026-09-03T19:37:31.407310+00:00
2026-07-10,792.6,815.0,781.2,790.0,33604,790.0,2026-09-03T19:37:31.407310+00:00
2026-07-13,790.0,809.0,750.0,751.0,49560,751.0,2026-09-03T19:37:31.407310+00:00
2026-07-14,750.0,789.0,745.0,765.0,45784,765.0,2026-09-03T19:37:31.407310+00:00
2026-07-15,765.0,790.0,765.0,771.0,36729,771.0,2026-09-03T19:37:31.407310+00:00
2026-07-16,732.5,799.0,732.5,780.0,51223,780.0,2026-09-03T19:37:31.407310+00:00
2026-07-17,780.0,835.0,780.0,823.1,56949,823.1,2026-09-03T19:37:31.407310+00:00
2026-07-20,823.1,850.0,820.0,848.0,49405,848.0,2026-09-03T19:37:31.407310+00:00
2026-07-21,848.0,879.6,833.2,845.0,70713,845.0,2026-09-03T19:37:31.407310+00:00
2026-07-22,845.0,861.1,835.0,842.1,41452,842.1,2026-09-03T19:37:31.407310+00:00
2026-07-23,833.0,915.0,833.0,905.0,82670,905.0,2026-09-03T19:37:31.407310+00:00
2026-07-24,905.0,948.0,893.0,893.0,93889,893.0,2026-09-03T19:37:31.407310+00:00
2026-07-27,893.0,913.0,845.2,858.9,79971,858.9,2026-09-03T19:37:31.407310+00:00
2026-07-28,901.0,901.0,836.1,848.0,45383,848.0,2026-09-03T19:37:31.407310+00:00
2026-07-29,848.0,869.0,834.0,836.0,28683,836.0,2026-09-03T19:37:31.407310+00:00
2026-07-30,794.2,852.0,794.2,825.0,59270,825.0,2026-09-03T19:37:31.407310+00:00
2026-07-31,783.8,840.0,783.8,827.0,31094,827.0,2026-09-03T19:37:31.407310+00:00
2026-08-03,825.0,850.9,820.0,823.1,28239,823.1,2026-09-03T19:37:31.407310+00:00
2026-08-04,820.0,830.0,806.3,808.0,32485,808.0,2026-09-03T19:37:31.407310+00:00
2026-08-05,810.0,825.0,807.2,815.0,23188,815.0,2026-09-03T19:37:31.407310+00:00
2026-08-06,807.2,826.0,800.0,800.0,36365,800.0,2026-09-03T19:37:31.407310+00:00
2026-08-07,760.0,810.0,760.0,792.0,33277,792.0,2026-09-03T19:37:31.407310+00:00
2026-08-10,792.0,804.0,790.0,796.0,18146,796.0,2026-09-03T19:37:31.407310+00:00
2026-08-11,792.0,824.0,790.2,814.0,34655,814.0,2026-09-03T19:37:31.407310+00:00
2026-08-12,810.0,820.0,800.1,801.1,21064,801.1,2026-09-03T19:37:31.407310+00:00
2026-08-13,800.0,814.0,796.2,805.0,20489,805.0,2026-09-03T19:37:31.407310+00:00
2026-08-14,800.0,805.6,796.0,796.0,21037,796.0,2026-09-03T19:37:31.407310+00:00
2026-08-17,790.0,800.8,790.0,795.0,30604,795.0,2026-09-03T19:37:31.407310+00:00
2026-08-18,810.0,810.0,781.0,783.0,40742,783.0,2026-09-03T19:37:31.407310+00:00
2026-08-19,780.0,785.0,775.2,780.0,19566,780.0,2026-09-03T19:37:31.407310+00:00
2026-08-20,775.0,785.0,765.2,776.0,27619,776.0,2026-09-03T19:37:31.407310+00:00
2026-08-21,776.0,800.0,765.1,769.4,29006,769.4,2026-09-03T19:37:31.407310+00:00
2026-08-24,760.0,774.9,753.0,754.1,24219,754.1,2026-09-03T19:37:31.407310+00:00
2026-08-25,750.0,767.2,745.0,748.0,24448,748.0,2026-09-03T19:37:31.407310+00:00
2026-08-26,748.0,748.0,727.1,729.0,25470,729.0,2026-09-03T19:37:31.407310+00:00
2026-08-27,717.0,758.0,705.0,758.0,35623,758.0,2026-09-03T19:37:31.407310+00:00
2026-08-31,758.0,758.0,733.0,736.0,19391,736.0,2026-09-03T19:37:31.407310+00:00
2026-09-01,736.0,750.0,723.0,731.2,16544,731.2,2026-09-03T19:37:31.407310+00:00
2026-09-02,731.0,739.0,728.0,734.0,15417,734.0,2026-09-03T19:37:31.407310+00:00
2026-09-03,728.0,733.9,720.2,725.0,26050,725.0,2026-09-03T19:37:31.407310+00:00
