date,open,high,low,close,volume,adj_close,fetched_at
2023-04-04,638.0,638.0,573.9,573.9,49679,573.9,2026-09-03T19:33:37.116788+00:00
2023-04-05,573.9,573.9,551.0,559.0,23219,559.0,2026-09-03T19:33:37.116788+00:00
2023-04-06,559.0,568.9,550.9,566.0,14847,566.0,2026-09-03T19:33:37.116788+00:00
2023-04-09,554.8,555.0,546.0,550.0,46237,550.0,2026-09-03T19:33:37.116788+00:00
2023-04-10,560.0,561.0,542.0,542.0,7321,542.0,2026-09-03T19:33:37.116788+00:00
2023-04-11,542.0,549.9,534.0,548.0,20424,548.0,2026-09-03T19:33:37.116788+00:00
2023-04-12,555.0,575.0,555.0,575.0,43629,575.0,2026-09-03T19:33:37.116788+00:00
2023-04-13,585.0,587.0,560.0,569.0,12096,569.0,2026-09-03T19:33:37.116788+00:00
2023-04-16,577.5,577.5,550.1,557.0,19345,557.0,2026-09-03T19:33:37.116788+00:00
2023-04-17,552.4,558.0,552.1,553.0,9853,553.0,2026-09-03T19:33:37.116788+00:00
2023-04-18,554.0,561.9,550.1,558.8,15736,558.8,2026-09-03T19:33:37.116788+00:00
2023-04-19,560.0,571.0,555.0,571.0,14649,571.0,2026-09-03T19:33:37.116788+00:00
2023-04-20,577.9,585.0,571.0,579.0,28677,579.0,2026-09-03T19:33:37.116788+00:00
2023-04-23,570.0,579.0,570.0,572.1,5153,572.1,2026-09-03T19:33:37.116788+00:00
2023-04-24,570.0,577.0,563.0,576.0,4437,576.0,2026-09-03T19:33:37.116788+00:00
2023-04-25,566.8,606.0,566.8,602.0,35842,602.0,2026-09-03T19:33:37.116788+00:00
2023-04-26,612.9,612.9,590.0,590.0,20075,590.0,2026-09-03T19:33:37.116788+00:00
2023-04-27,587.3,613.8,578.5,594.0,11143,594.0,2026-09-03T19:33:37.116788+00:00
2023-04-30,585.0,594.0,575.0,594.0,12512,594.0,2026-09-03T19:33:37.116788+00:00
2023-05-02,582.2,585.0,575.1,580.0,2154,580.0,2026-09-03T19:33:37.116788+00:00
2023-05-03,580.0,580.0,568.5,570.0,10962,570.0,2026-09-03T19:33:37.116788+00:00
2023-05-04,570.1,579.0,565.0,573.0,5359,573.0,2026-09-03T19:33:37.116788+00:00
2023-05-07,565.1,571.0,565.1,568.5,4228,568.5,2026-09-03T19:33:37.116788+00:00
2023-05-08,568.0,570.0,562.2,569.0,13706,569.0,2026-09-03T19:33:37.116788+00:00
2023-05-09,558.1,580.3,558.1,569.0,3353,569.0,2026-09-03T19:33:37.116788+00:00
2023-05-10,579.9,579.9,564.0,577.8,13874,577.8,2026-09-03T19:33:37.116788+00:00
2023-05-11,589.0,589.0,568.0,575.0,14119,575.0,2026-09-03T19:33:37.116788+00:00
2023-05-14,586.0,586.0,564.0,567.6,5990,567.6,2026-09-03T19:33:37.116788+00:00
2023-05-15,570.0,570.0,561.0,563.0,13421,563.0,2026-09-03T19:33:37.116788+00:00
2023-05-16,563.0,570.0,552.1,569.0,7381,569.0,2026-09-03T19:33:37.116788+00:00
2023-05-17,569.0,604.0,565.0,603.9,14951,603.9,2026-09-03T19:33:37.116788+00:00
2023-05-18,614.0,615.0,587.0,603.1,13730,603.1,2026-09-03T19:33:37.116788+00:00
2023-05-21,602.0,614.9,597.0,614.0,26530,614.0,2026-09-03T19:33:37.116788+00:00
2023-05-22,619.0,630.0,598.0,622.0,17368,622.0,2026-09-03T19:33:37.116788+00:00
2023-05-23,633.0,644.0,621.5,644.0,21920,644.0,2026-09-03T19:33:37.116788+00:00
2023-05-24,644.0,669.0,637.0,668.0,37717,668.0,2026-09-03T19:33:37.116788+00:00
2023-05-28,668.0,672.0,641.0,653.0,23891,653.0,2026-09-03T19:33:37.116788+00:00
2023-05-30,640.0,643.0,621.0,622.9,33440,622.9,2026-09-03T19:33:37.116788+00:00
2023-05-31,610.5,634.0,598.3,606.0,22279,606.0,2026-09-03T19:33:37.116788+00:00
2023-06-01,609.0,620.0,597.2,614.9,24326,614.9,2026-09-03T19:33:37.116788+00:00
2023-06-04,627.0,649.9,625.0,647.0,17941,647.0,2026-09-03T19:33:37.116788+00:00
2023-06-05,647.0,649.0,635.3,637.0,42859,637.0,2026-09-03T19:33:37.116788+00:00
2023-06-06,635.1,688.0,635.1,687.0,61375,687.0,2026-09-03T19:33:37.116788+00:00
2023-06-07,674.0,705.0,673.2,680.4,38855,680.4,2026-09-03T19:33:37.116788+00:00
2023-06-08,684.0,730.0,678.0,715.0,135410,715.0,2026-09-03T19:33:37.116788+00:00
2023-06-11,728.0,728.0,708.0,723.0,47664,723.0,2026-09-03T19:33:37.116788+00:00
2023-06-12,729.0,758.3,703.0,758.0,70557,758.0,2026-09-03T19:33:37.116788+00:00
2023-06-13,743.0,805.0,729.0,760.0,73729,760.0,2026-09-03T19:33:37.116788+00:00
2023-06-14,750.0,769.9,742.9,767.0,79981,767.0,2026-09-03T19:33:37.116788+00:00
2023-06-15,751.7,775.0,751.7,773.5,45913,773.5,2026-09-03T19:33:37.116788+00:00
2023-06-18,775.0,805.0,768.0,804.5,74556,804.5,2026-09-03T19:33:37.116788+00:00
2023-06-19,800.0,801.0,766.0,766.0,38691,766.0,2026-09-03T19:33:37.116788+00:00
2023-06-20,781.3,781.3,744.0,744.0,33666,744.0,2026-09-03T19:33:37.116788+00:00
2023-06-21,740.0,780.0,720.0,745.1,35473,745.1,2026-09-03T19:33:37.116788+00:00
2023-06-22,733.0,774.8,733.0,765.0,39408,765.0,2026-09-03T19:33:37.116788+00:00
2023-06-25,775.0,809.9,775.0,799.8,94310,799.8,2026-09-03T19:33:37.116788+00:00
2023-06-26,810.0,817.0,784.0,787.5,59647,787.5,2026-09-03T19:33:37.116788+00:00
2023-06-27,773.0,795.0,773.0,789.0,34963,789.0,2026-09-03T19:33:37.116788+00:00
2023-06-28,778.0,797.0,774.0,781.2,51984,781.2,2026-09-03T19:33:37.116788+00:00
2023-07-02,776.0,804.0,776.0,780.0,70924,780.0,2026-09-03T19:33:37.116788+00:00
2023-07-03,780.0,787.9,769.0,780.0,29941,780.0,2026-09-03T19:33:37.116788+00:00
2023-07-04,780.0,795.0,765.0,769.8,35638,769.8,2026-09-03T19:33:37.116788+00:00
2023-07-05,755.5,775.0,745.0,745.0,28027,745.0,2026-09-03T19:33:37.116788+00:00
2023-07-06,757.8,757.8,735.0,743.5,23253,743.5,2026-09-03T19:33:37.116788+00:00
2023-07-09,729.1,772.1,729.1,765.0,26810,765.0,2026-09-03T19:33:37.116788+00:00
2023-07-10,779.9,779.9,754.0,760.0,44712,760.0,2026-09-03T19:33:37.116788+00:00
2023-07-11,760.0,766.0,750.0,756.0,30911,756.0,2026-09-03T19:33:37.116788+00:00
2023-07-12,750.0,780.0,750.0,775.0,74539,775.0,2026-09-03T19:33:37.116788+00:00
2023-07-13,775.0,795.0,775.0,777.0,67669,777.0,2026-09-03T19:33:37.116788+00:00
2023-07-16,777.0,786.0,769.0,778.5,26888,778.5,2026-09-03T19:33:37.116788+00:00
2023-07-17,777.0,795.0,774.0,795.0,44388,795.0,2026-09-03T19:33:37.116788+00:00
2023-07-18,800.0,830.0,797.0,824.0,142223,824.0,2026-09-03T19:33:37.116788+00:00
2023-07-19,815.0,837.0,808.0,814.9,73568,814.9,2026-09-03T19:33:37.116788+00:00
2023-07-20,826.0,826.0,800.5,808.0,33516,808.0,2026-09-03T19:33:37.116788+00:00
2023-07-23,792.0,831.0,792.0,817.1,61784,817.1,2026-09-03T19:33:37.116788+00:00
2023-07-24,802.0,829.0,801.0,819.8,48083,819.8,2026-09-03T19:33:37.116788+00:00
2023-07-25,817.0,823.0,805.0,806.0,29586,806.0,2026-09-03T19:33:37.116788+00:00
2023-07-26,791.0,821.0,791.0,798.0,36345,798.0,2026-09-03T19:33:37.116788+00:00
