date,open,high,low,close,volume,adj_close,fetched_at
2023-05-21,399.7,414.0,399.7,404.8,43573,404.8,2026-09-03T19:35:38.780065+00:00
2023-05-22,397.0,412.5,396.9,412.0,20116,412.0,2026-09-03T19:35:38.780065+00:00
2023-05-23,404.0,431.9,404.0,430.0,24766,430.0,2026-09-03T19:35:38.780065+00:00
2023-05-24,430.0,438.6,422.0,432.0,26171,432.0,2026-09-03T19:35:38.780065+00:00
2023-05-28,432.0,440.0,415.0,415.0,30792,415.0,2026-09-03T19:35:38.780065+00:00
2023-05-30,415.0,415.9,402.0,402.1,26241,402.1,2026-09-03T19:35:38.780065+00:00
2023-05-31,400.0,410.0,389.0,390.1,15572,390.1,2026-09-03T19:35:38.780065+00:00
2023-06-01,390.1,404.9,390.0,397.7,17526,397.7,2026-09-03T19:35:38.780065+00:00
2023-06-04,395.0,421.9,395.0,414.0,20073,414.0,2026-09-03T19:35:38.780065+00:00
2023-06-05,410.0,423.4,407.8,423.4,34941,423.4,2026-09-03T19:35:38.780065+00:00
2023-06-06,415.0,438.0,410.1,433.0,37275,433.0,2026-09-03T19:35:38.780065+00:00
2023-06-07,433.0,445.0,427.0,435.0,40748,435.0,2026-09-03T19:35:38.780065+00:00
2023-06-08,435.0,472.0,430.0,451.0,82220,451.0,2026-09-03T19:35:38.780065+00:00
2023-06-11,460.0,496.0,453.0,483.0,99353,483.0,2026-09-03T19:35:38.780065+00:00
2023-06-12,485.0,492.0,476.5,485.0,46221,485.0,2026-09-03T19:35:38.780065+00:00
2023-06-13,475.3,511.8,475.1,495.0,88821,495.0,2026-09-03T19:35:38.780065+00:00
2023-06-14,494.0,512.0,488.0,500.0,105570,500.0,2026-09-03T19:35:38.780065+00:00
2023-06-15,490.0,532.6,490.0,529.0,81479,529.0,2026-09-03T19:35:38.780065+00:00
2023-06-18,529.0,560.6,527.0,560.0,111573,560.0,2026-09-03T19:35:38.780065+00:00
2023-06-19,571.2,571.2,534.3,551.0,120933,551.0,2026-09-03T19:35:38.780065+00:00
2023-06-20,550.0,560.0,530.0,531.0,58249,531.0,2026-09-03T19:35:38.780065+00:00
2023-06-21,520.5,549.0,520.5,535.0,61832,535.0,2026-09-03T19:35:38.780065+00:00
2023-06-22,540.0,555.0,530.0,550.0,97740,550.0,2026-09-03T19:35:38.780065+00:00
2023-06-25,555.0,598.2,555.0,598.2,169906,598.2,2026-09-03T19:35:38.780065+00:00
2023-06-26,610.1,619.9,581.0,581.1,97279,581.1,2026-09-03T19:35:38.780065+00:00
2023-06-27,581.0,603.0,570.0,575.0,73392,575.0,2026-09-03T19:35:38.780065+00:00
2023-06-28,575.0,602.0,566.0,588.0,106697,588.0,2026-09-03T19:35:38.780065+00:00
2023-07-02,588.0,608.0,577.1,590.0,129138,590.0,2026-09-03T19:35:38.780065+00:00
2023-07-03,578.3,598.0,574.0,579.0,63654,579.0,2026-09-03T19:35:38.780065+00:00
2023-07-04,580.0,585.0,563.0,575.9,47284,575.9,2026-09-03T19:35:38.780065+00:00
2023-07-05,565.0,580.0,548.0,554.0,63390,554.0,2026-09-03T19:35:38.780065+00:00
2023-07-06,550.0,560.0,538.0,547.9,47513,547.9,2026-09-03T19:35:38.780065+00:00
2023-07-09,540.0,568.0,540.0,568.0,50579,568.0,2026-09-03T19:35:38.780065+00:00
2023-07-10,568.0,584.0,560.0,570.0,47162,570.0,2026-09-03T19:35:38.780065+00:00
2023-07-11,560.0,570.5,558.0,570.0,28262,570.0,2026-09-03T19:35:38.780065+00:00
2023-07-12,560.1,570.0,560.1,567.9,40013,567.9,2026-09-03T19:35:38.780065+00:00
2023-07-13,568.0,578.0,552.3,552.5,39668,552.5,2026-09-03T19:35:38.780065+00:00
2023-07-16,548.0,563.0,548.0,556.0,21147,556.0,2026-09-03T19:35:38.780065+00:00
2023-07-17,550.0,575.0,548.0,570.2,35502,570.2,2026-09-03T19:35:38.780065+00:00
2023-07-18,570.0,593.0,570.0,577.0,62290,577.0,2026-09-03T19:35:38.780065+00:00
2023-07-19,578.0,582.0,565.0,565.0,50842,565.0,2026-09-03T19:35:38.780065+00:00
2023-07-20,560.0,571.2,560.0,562.0,25126,562.0,2026-09-03T19:35:38.780065+00:00
2023-07-23,553.0,575.0,553.0,565.0,44357,565.0,2026-09-03T19:35:38.780065+00:00
2023-07-24,556.0,574.0,556.0,568.0,46718,568.0,2026-09-03T19:35:38.780065+00:00
2023-07-25,568.0,575.0,558.6,558.6,34218,558.6,2026-09-03T19:35:38.780065+00:00
2023-07-26,557.0,563.0,552.2,556.0,27486,556.0,2026-09-03T19:35:38.780065+00:00
2023-07-27,552.1,566.0,546.0,550.0,26802,550.0,2026-09-03T19:35:38.780065+00:00
2023-07-30,550.0,555.0,534.0,536.9,44307,536.9,2026-09-03T19:35:38.780065+00:00
2023-07-31,536.9,546.0,531.0,537.6,19685,537.6,2026-09-03T19:35:38.780065+00:00
2023-08-01,539.4,556.0,523.4,524.0,16508,524.0,2026-09-03T19:35:38.780065+00:00
