date,open,high,low,close,volume,adj_close,fetched_at
2012-09-13,261.0,202.0,202.0,202.0,10,202.0,2026-09-03T19:33:27.636999+00:00
2012-10-15,202.0,218.0,206.0,218.0,57,218.0,2026-09-03T19:33:27.636999+00:00
2012-10-17,218.0,226.0,222.0,226.0,41,226.0,2026-09-03T19:33:27.636999+00:00
2013-06-23,226.0,209.0,209.0,209.0,36,209.0,2026-09-03T19:33:27.636999+00:00
2013-09-05,209.0,213.0,213.0,213.0,15,213.0,2026-09-03T19:33:27.636999+00:00
2014-02-25,213.0,217.0,217.0,217.0,108,217.0,2026-09-03T19:33:27.636999+00:00
2014-03-20,217.0,217.0,217.0,217.0,10,217.0,2026-09-03T19:33:27.636999+00:00
2014-07-13,197.0,204.0,200.0,204.0,167,204.0,2026-09-03T19:33:27.636999+00:00
2014-11-20,204.0,208.0,208.0,208.0,663,208.0,2026-09-03T19:33:27.636999+00:00
2014-11-23,208.0,212.0,212.0,212.0,72,212.0,2026-09-03T19:33:27.636999+00:00
2015-03-02,212.0,224.0,216.0,224.0,220,224.0,2026-09-03T19:33:27.636999+00:00
2015-03-04,224.0,235.0,235.0,235.0,1420,235.0,2026-09-03T19:33:27.636999+00:00
2015-04-23,214.0,210.0,210.0,210.0,21279,210.0,2026-09-03T19:33:27.636999+00:00
2015-05-25,210.0,220.0,220.0,220.0,5451,220.0,2026-09-03T19:33:27.636999+00:00
2015-07-22,220.0,224.0,224.0,224.0,14553,224.0,2026-09-03T19:33:27.636999+00:00
2015-09-03,224.0,228.0,228.0,228.0,3654,228.0,2026-09-03T19:33:27.636999+00:00
2015-09-29,228.0,236.0,232.0,236.0,4305,236.0,2026-09-03T19:33:27.636999+00:00
2016-06-28,205.0,215.0,215.0,215.0,450,215.0,2026-09-03T19:33:27.636999+00:00
2016-11-21,215.0,223.0,219.0,223.0,1195,223.0,2026-09-03T19:33:27.636999+00:00
2016-12-21,223.0,231.0,227.0,231.0,37,231.0,2026-09-03T19:33:27.636999+00:00
2017-01-19,231.0,239.0,235.0,239.0,111,239.0,2026-09-03T19:33:27.636999+00:00
2017-03-29,239.0,251.0,243.0,251.0,17675,251.0,2026-09-03T19:33:27.636999+00:00
2017-04-03,251.0,261.0,256.0,261.0,160,261.0,2026-09-03T19:33:27.636999+00:00
2017-04-25,261.0,276.0,266.0,276.0,562,276.0,2026-09-03T19:33:27.636999+00:00
2017-05-11,276.0,286.0,281.0,286.0,318,286.0,2026-09-03T19:33:27.636999+00:00
2017-07-25,238.0,246.0,242.0,246.0,1499,246.0,2026-09-03T19:33:27.636999+00:00
2017-11-06,246.0,255.0,250.0,255.0,1468,255.0,2026-09-03T19:33:27.636999+00:00
2017-11-15,255.0,0.0,0.0,0.0,1,0.0,2026-09-03T19:33:27.636999+00:00
2017-11-26,255.0,265.0,260.0,265.0,43,265.0,2026-09-03T19:33:27.636999+00:00
2017-12-13,265.0,270.0,270.0,270.0,100,270.0,2026-09-03T19:33:27.636999+00:00
2018-02-04,265.0,280.0,270.0,280.0,71,280.0,2026-09-03T19:33:27.636999+00:00
2018-02-12,280.0,308.0,285.0,308.0,1806,308.0,2026-09-03T19:33:27.636999+00:00
2018-05-27,250.0,250.0,250.0,250.0,10,250.0,2026-09-03T19:33:27.636999+00:00
2018-06-20,255.0,255.0,255.0,255.0,1,255.0,2026-09-03T19:33:27.636999+00:00
2018-07-16,255.0,260.0,255.0,260.0,1913,260.0,2026-09-03T19:33:27.636999+00:00
2018-08-06,265.0,270.0,265.0,270.0,201,270.0,2026-09-03T19:33:27.636999+00:00
2018-08-09,275.0,280.0,275.0,280.0,1778,280.0,2026-09-03T19:33:27.636999+00:00
2018-08-12,285.0,290.0,285.0,290.0,190,290.0,2026-09-03T19:33:27.636999+00:00
