date,open,high,low,close,volume,adj_close,fetched_at
2012-09-10,223.0,219.0,219.0,219.0,60,219.0,2026-09-03T19:33:53.771140+00:00
2012-09-12,219.0,219.0,215.0,219.0,537,219.0,2026-09-03T19:33:53.771140+00:00
2012-09-13,219.0,235.0,223.0,235.0,459,235.0,2026-09-03T19:33:53.771140+00:00
2012-09-17,235.0,252.0,231.0,250.0,2220,250.0,2026-09-03T19:33:53.771140+00:00
2012-09-18,250.0,260.0,250.0,260.0,714,260.0,2026-09-03T19:33:53.771140+00:00
2012-09-19,260.0,265.0,255.0,255.0,1158,255.0,2026-09-03T19:33:53.771140+00:00
2012-09-20,255.0,255.0,255.0,255.0,142,255.0,2026-09-03T19:33:53.771140+00:00
2012-09-24,255.0,270.0,260.0,270.0,30,270.0,2026-09-03T19:33:53.771140+00:00
2012-09-25,270.0,265.0,260.0,260.0,217,260.0,2026-09-03T19:33:53.771140+00:00
2012-09-26,260.0,260.0,255.0,260.0,20,260.0,2026-09-03T19:33:53.771140+00:00
2012-10-02,260.0,255.0,255.0,255.0,180,255.0,2026-09-03T19:33:53.771140+00:00
2012-10-03,255.0,252.0,239.0,239.0,1292,239.0,2026-09-03T19:33:53.771140+00:00
2012-10-07,239.0,239.0,235.0,239.0,4107,239.0,2026-09-03T19:33:53.771140+00:00
2012-10-08,239.0,256.0,240.0,256.0,853,256.0,2026-09-03T19:33:53.771140+00:00
2012-10-09,256.0,256.0,251.0,256.0,262,256.0,2026-09-03T19:33:53.771140+00:00
2012-10-10,256.0,259.0,252.0,255.0,950,255.0,2026-09-03T19:33:53.771140+00:00
2012-10-11,255.0,250.0,245.0,245.0,500,245.0,2026-09-03T19:33:53.771140+00:00
2012-10-14,245.0,241.0,241.0,241.0,500,241.0,2026-09-03T19:33:53.771140+00:00
2012-10-17,241.0,244.0,240.0,244.0,210,244.0,2026-09-03T19:33:53.771140+00:00
2012-10-18,244.0,252.0,248.0,252.0,200,252.0,2026-09-03T19:33:53.771140+00:00
2012-10-30,252.0,249.0,249.0,249.0,10,249.0,2026-09-03T19:33:53.771140+00:00
2012-10-31,249.0,260.0,253.0,260.0,502,260.0,2026-09-03T19:33:53.771140+00:00
2012-11-01,260.0,258.0,258.0,258.0,629,258.0,2026-09-03T19:33:53.771140+00:00
2012-11-04,258.0,263.0,261.0,261.0,587,261.0,2026-09-03T19:33:53.771140+00:00
2012-11-05,261.0,263.0,261.0,263.0,600,263.0,2026-09-03T19:33:53.771140+00:00
2012-11-07,263.0,273.0,268.0,273.0,140,273.0,2026-09-03T19:33:53.771140+00:00
2012-11-08,273.0,274.0,270.0,270.0,300,270.0,2026-09-03T19:33:53.771140+00:00
2012-11-18,270.0,275.0,275.0,275.0,100,275.0,2026-09-03T19:33:53.771140+00:00
2012-11-21,275.0,279.0,279.0,279.0,15,279.0,2026-09-03T19:33:53.771140+00:00
2012-11-25,279.0,285.0,279.0,280.0,1301,280.0,2026-09-03T19:33:53.771140+00:00
2012-11-26,280.0,285.0,276.0,280.0,2673,280.0,2026-09-03T19:33:53.771140+00:00
2012-11-27,280.0,308.0,284.0,308.0,995,308.0,2026-09-03T19:33:53.771140+00:00
2012-11-28,308.0,332.0,314.0,326.0,1628,326.0,2026-09-03T19:33:53.771140+00:00
2012-11-29,326.0,326.0,320.0,325.0,726,325.0,2026-09-03T19:33:53.771140+00:00
2012-12-02,325.0,319.0,313.0,313.0,849,313.0,2026-09-03T19:33:53.771140+00:00
2012-12-03,313.0,311.0,310.0,310.0,1118,310.0,2026-09-03T19:33:53.771140+00:00
2012-12-04,310.0,310.0,304.0,310.0,1049,310.0,2026-09-03T19:33:53.771140+00:00
2012-12-05,310.0,322.0,316.0,322.0,405,322.0,2026-09-03T19:33:53.771140+00:00
2012-12-06,322.0,316.0,310.0,310.0,756,310.0,2026-09-03T19:33:53.771140+00:00
2012-12-09,310.0,310.0,309.0,309.0,690,309.0,2026-09-03T19:33:53.771140+00:00
2012-12-10,309.0,311.0,305.0,308.0,390,308.0,2026-09-03T19:33:53.771140+00:00
2012-12-11,308.0,308.0,300.0,306.0,3050,306.0,2026-09-03T19:33:53.771140+00:00
2012-12-12,306.0,314.0,306.0,308.0,2439,308.0,2026-09-03T19:33:53.771140+00:00
2012-12-13,308.0,320.0,308.0,308.0,240,308.0,2026-09-03T19:33:53.771140+00:00
2012-12-17,308.0,314.0,314.0,314.0,20,314.0,2026-09-03T19:33:53.771140+00:00
2012-12-18,314.0,310.0,308.0,310.0,645,310.0,2026-09-03T19:33:53.771140+00:00
2012-12-19,310.0,311.0,310.0,311.0,413,311.0,2026-09-03T19:33:53.771140+00:00
2012-12-20,311.0,316.0,309.0,316.0,690,316.0,2026-09-03T19:33:53.771140+00:00
2012-12-23,316.0,334.0,322.0,334.0,413,334.0,2026-09-03T19:33:53.771140+00:00
2012-12-24,334.0,350.0,332.0,350.0,8059,350.0,2026-09-03T19:33:53.771140+00:00
2012-12-26,350.0,357.0,350.0,350.0,450,350.0,2026-09-03T19:33:53.771140+00:00
2013-01-02,350.0,345.0,345.0,345.0,220,345.0,2026-09-03T19:33:53.771140+00:00
2013-01-03,345.0,343.0,335.0,335.0,436,335.0,2026-09-03T19:33:53.771140+00:00
2013-01-13,335.0,341.0,331.0,340.0,2789,340.0,2026-09-03T19:33:53.771140+00:00
2013-01-16,340.0,334.0,327.0,327.0,197,327.0,2026-09-03T19:33:53.771140+00:00
2013-01-17,327.0,333.0,332.0,332.0,113,332.0,2026-09-03T19:33:53.771140+00:00
2013-01-20,332.0,328.0,311.0,311.0,698,311.0,2026-09-03T19:33:53.771140+00:00
2013-01-21,311.0,317.0,311.0,315.0,173,315.0,2026-09-03T19:33:53.771140+00:00
2013-01-24,315.0,321.0,321.0,321.0,1284,321.0,2026-09-03T19:33:53.771140+00:00
2013-01-27,321.0,338.0,327.0,335.0,1615,335.0,2026-09-03T19:33:53.771140+00:00
2013-01-28,335.0,341.0,332.0,332.0,1970,332.0,2026-09-03T19:33:53.771140+00:00
2013-01-31,332.0,330.0,327.0,327.0,407,327.0,2026-09-03T19:33:53.771140+00:00
2013-02-04,327.0,333.0,332.0,333.0,146,333.0,2026-09-03T19:33:53.771140+00:00
2013-02-05,333.0,341.0,339.0,341.0,335,341.0,2026-09-03T19:33:53.771140+00:00
2013-02-06,341.0,341.0,341.0,341.0,100,341.0,2026-09-03T19:33:53.771140+00:00
2013-02-07,341.0,335.0,335.0,335.0,2329,335.0,2026-09-03T19:33:53.771140+00:00
2013-02-12,335.0,341.0,331.0,341.0,493,341.0,2026-09-03T19:33:53.771140+00:00
