date,open,high,low,close,volume,adj_close,fetched_at
2022-05-12,1346.0,1346.0,1236.1,1236.1,1339,1236.1,2026-09-03T19:34:32.978834+00:00
2022-05-17,1212.0,1212.0,1112.5,1112.5,1298,1112.5,2026-09-03T19:34:32.978834+00:00
2022-05-18,1090.3,1090.3,1001.3,1001.3,1371,1001.3,2026-09-03T19:34:32.978834+00:00
2022-05-19,982.0,985.0,925.2,950.0,16061,950.0,2026-09-03T19:34:32.978834+00:00
2022-05-20,960.0,985.0,930.0,930.0,4580,930.0,2026-09-03T19:34:32.978834+00:00
2022-05-23,911.4,911.4,885.0,895.0,3626,895.0,2026-09-03T19:34:32.978834+00:00
2022-05-24,912.5,915.0,841.1,857.0,10440,857.0,2026-09-03T19:34:32.978834+00:00
2022-05-25,874.1,889.0,842.8,878.0,6856,878.0,2026-09-03T19:34:32.978834+00:00
2022-05-26,878.0,884.9,860.0,870.0,3286,870.0,2026-09-03T19:34:32.978834+00:00
2022-05-27,879.0,879.0,850.1,868.0,3085,868.0,2026-09-03T19:34:32.978834+00:00
2022-05-30,868.0,868.0,830.0,835.0,5166,835.0,2026-09-03T19:34:32.978834+00:00
2022-05-31,835.0,835.0,804.0,809.0,3811,809.0,2026-09-03T19:34:32.978834+00:00
2022-06-01,825.0,841.5,794.0,794.0,6105,794.0,2026-09-03T19:34:32.978834+00:00
2022-06-02,794.0,809.0,785.0,785.1,5935,785.1,2026-09-03T19:34:32.978834+00:00
2022-06-03,775.0,784.0,755.0,757.0,10284,757.0,2026-09-03T19:34:32.978834+00:00
2022-06-06,772.1,772.1,751.0,758.0,4105,758.0,2026-09-03T19:34:32.978834+00:00
2022-06-07,768.9,769.0,743.0,754.0,4257,754.0,2026-09-03T19:34:32.978834+00:00
2022-06-08,763.0,801.0,750.0,790.0,4832,790.0,2026-09-03T19:34:32.978834+00:00
2022-06-09,805.8,820.0,760.0,778.0,3424,778.0,2026-09-03T19:34:32.978834+00:00
2022-06-10,765.0,784.0,755.0,770.0,879,770.0,2026-09-03T19:34:32.978834+00:00
2022-06-13,770.0,770.0,750.0,750.0,1772,750.0,2026-09-03T19:34:32.978834+00:00
2022-06-14,755.0,755.0,722.0,722.0,3264,722.0,2026-09-03T19:34:32.978834+00:00
2022-06-15,722.0,750.0,710.0,730.0,2240,730.0,2026-09-03T19:34:32.978834+00:00
2022-06-16,720.1,755.0,720.1,738.9,1819,738.9,2026-09-03T19:34:32.978834+00:00
2022-06-17,750.0,750.0,740.0,747.4,565,747.4,2026-09-03T19:34:32.978834+00:00
2022-06-19,746.0,746.0,713.0,715.1,3746,715.1,2026-09-03T19:34:32.978834+00:00
