date,open,high,low,close,volume,adj_close,fetched_at
2023-04-10,295.0,324.5,295.0,324.5,206247,324.5,2026-09-03T19:36:23.685880+00:00
2023-04-11,330.9,342.0,304.0,313.0,158845,313.0,2026-09-03T19:36:23.685880+00:00
2023-04-12,306.8,334.0,306.8,331.5,82281,331.5,2026-09-03T19:36:23.685880+00:00
2023-04-13,338.1,338.1,318.5,321.0,49161,321.0,2026-09-03T19:36:23.685880+00:00
2023-04-16,319.0,320.0,308.0,309.0,62246,309.0,2026-09-03T19:36:23.685880+00:00
2023-04-17,304.0,315.0,304.0,314.6,41883,314.6,2026-09-03T19:36:23.685880+00:00
2023-04-18,308.4,320.0,303.0,320.0,38845,320.0,2026-09-03T19:36:23.685880+00:00
2023-04-19,315.0,323.3,311.0,322.0,51534,322.0,2026-09-03T19:36:23.685880+00:00
2023-04-20,316.1,323.9,313.0,313.0,38607,313.0,2026-09-03T19:36:23.685880+00:00
2023-04-23,306.8,315.0,306.8,309.1,51344,309.1,2026-09-03T19:36:23.685880+00:00
2023-04-24,309.0,310.0,304.6,310.0,43827,310.0,2026-09-03T19:36:23.685880+00:00
2023-04-25,303.9,316.0,303.9,314.0,49440,314.0,2026-09-03T19:36:23.685880+00:00
2023-04-26,310.0,313.0,305.3,309.1,37495,309.1,2026-09-03T19:36:23.685880+00:00
2023-04-27,304.5,308.0,303.3,304.1,19920,304.1,2026-09-03T19:36:23.685880+00:00
2023-04-30,299.0,304.0,290.0,290.5,47675,290.5,2026-09-03T19:36:23.685880+00:00
2023-05-02,290.0,295.8,278.0,280.2,27150,280.2,2026-09-03T19:36:23.685880+00:00
2023-05-03,275.3,280.0,275.1,280.0,22249,280.0,2026-09-03T19:36:23.685880+00:00
2023-05-04,276.0,291.0,275.0,285.0,18340,285.0,2026-09-03T19:36:23.685880+00:00
2023-05-07,285.0,290.7,275.0,275.2,22604,275.2,2026-09-03T19:36:23.685880+00:00
2023-05-08,273.0,274.0,265.0,265.4,30467,265.4,2026-09-03T19:36:23.685880+00:00
