date,open,high,low,close,volume,adj_close,fetched_at
2021-12-08,515.1,518.0,499.0,509.0,4730,509.0,2026-09-03T19:35:43.801101+00:00
2021-12-09,500.0,527.0,500.0,507.0,3765,507.0,2026-09-03T19:35:43.801101+00:00
2021-12-12,497.0,497.0,461.3,489.9,5500,489.9,2026-09-03T19:35:43.801101+00:00
2021-12-13,480.2,489.8,445.0,445.0,3131,445.0,2026-09-03T19:35:43.801101+00:00
2021-12-14,445.0,489.5,437.0,489.5,2824,489.5,2026-09-03T19:35:43.801101+00:00
2021-12-15,499.2,510.0,451.5,480.5,6477,480.5,2026-09-03T19:35:43.801101+00:00
2021-12-16,480.0,490.0,453.9,454.1,3080,454.1,2026-09-03T19:35:43.801101+00:00
2021-12-20,453.9,453.9,420.0,430.0,3160,430.0,2026-09-03T19:35:43.801101+00:00
2021-12-21,430.0,438.6,415.1,416.0,7301,416.0,2026-09-03T19:35:43.801101+00:00
2021-12-22,424.0,452.0,424.0,443.0,6721,443.0,2026-09-03T19:35:43.801101+00:00
2021-12-23,440.0,459.0,425.4,430.0,4101,430.0,2026-09-03T19:35:43.801101+00:00
2021-12-26,430.0,445.0,425.1,434.4,2611,434.4,2026-09-03T19:35:43.801101+00:00
2021-12-27,426.0,434.0,414.0,415.0,3090,415.0,2026-09-03T19:35:43.801101+00:00
2021-12-28,407.0,431.0,404.0,419.0,3243,419.0,2026-09-03T19:35:43.801101+00:00
2021-12-29,410.7,422.0,405.0,415.0,2891,415.0,2026-09-03T19:35:43.801101+00:00
2022-01-02,408.0,428.9,408.0,428.0,2170,428.0,2026-09-03T19:35:43.801101+00:00
2022-01-03,420.0,430.0,415.5,427.3,2585,427.3,2026-09-03T19:35:43.801101+00:00
2022-01-04,425.0,430.0,408.1,426.0,1800,426.0,2026-09-03T19:35:43.801101+00:00
2022-01-05,431.0,460.0,425.0,449.0,11440,449.0,2026-09-03T19:35:43.801101+00:00
2022-01-06,449.0,493.9,432.0,493.9,15247,493.9,2026-09-03T19:35:43.801101+00:00
2022-01-09,494.0,530.0,487.1,522.0,15407,522.0,2026-09-03T19:35:43.801101+00:00
2022-01-10,512.0,550.8,501.0,517.0,7729,517.0,2026-09-03T19:35:43.801101+00:00
2022-01-11,517.0,525.0,505.0,519.0,6316,519.0,2026-09-03T19:35:43.801101+00:00
2022-01-12,515.0,518.0,495.0,496.0,15279,496.0,2026-09-03T19:35:43.801101+00:00
2022-01-13,505.0,515.0,486.1,513.0,3810,513.0,2026-09-03T19:35:43.801101+00:00
2022-01-16,513.0,543.0,502.8,537.0,24382,537.0,2026-09-03T19:35:43.801101+00:00
2022-01-17,547.7,547.7,519.4,547.0,16720,547.0,2026-09-03T19:35:43.801101+00:00
2022-01-18,540.0,572.3,531.3,569.0,16461,569.0,2026-09-03T19:35:43.801101+00:00
2022-01-19,558.0,585.0,542.0,578.0,11092,578.0,2026-09-03T19:35:43.801101+00:00
2022-01-20,578.0,635.8,557.0,635.8,39442,635.8,2026-09-03T19:35:43.801101+00:00
2022-01-23,635.8,652.0,615.0,635.0,24095,635.0,2026-09-03T19:35:43.801101+00:00
2022-01-24,635.0,645.0,573.3,599.0,25768,599.0,2026-09-03T19:35:43.801101+00:00
2022-01-25,587.1,610.9,570.0,589.9,11375,589.9,2026-09-03T19:35:43.801101+00:00
2022-01-26,585.0,600.0,550.0,582.0,10531,582.0,2026-09-03T19:35:43.801101+00:00
2022-01-27,575.0,598.0,566.5,598.0,6338,598.0,2026-09-03T19:35:43.801101+00:00
2022-01-30,609.9,617.0,595.2,609.1,15837,609.1,2026-09-03T19:35:43.801101+00:00
2022-01-31,600.1,627.0,588.0,607.0,11061,607.0,2026-09-03T19:35:43.801101+00:00
2022-02-01,605.0,620.0,596.0,611.0,10548,611.0,2026-09-03T19:35:43.801101+00:00
2022-02-03,613.0,663.0,613.0,635.0,26223,635.0,2026-09-03T19:35:43.801101+00:00
2022-02-06,630.0,635.0,605.0,607.0,13698,607.0,2026-09-03T19:35:43.801101+00:00
2022-02-07,594.9,637.6,594.9,612.0,7990,612.0,2026-09-03T19:35:43.801101+00:00
2022-02-08,624.2,636.0,589.0,592.1,10431,592.1,2026-09-03T19:35:43.801101+00:00
2022-02-09,592.1,603.2,576.2,594.0,3959,594.0,2026-09-03T19:35:43.801101+00:00
2022-02-10,584.0,591.6,570.0,584.6,7840,584.6,2026-09-03T19:35:43.801101+00:00
2022-02-13,573.0,573.0,546.0,547.0,8366,547.0,2026-09-03T19:35:43.801101+00:00
2022-02-14,536.1,560.0,536.1,552.0,2717,552.0,2026-09-03T19:35:43.801101+00:00
2022-02-15,541.1,600.0,541.1,600.0,5415,600.0,2026-09-03T19:35:43.801101+00:00
2022-02-16,600.0,600.0,570.0,587.0,7512,587.0,2026-09-03T19:35:43.801101+00:00
2022-02-17,598.0,642.6,576.3,625.0,32814,625.0,2026-09-03T19:35:43.801101+00:00
2022-02-20,637.5,687.5,590.0,679.0,49835,679.0,2026-09-03T19:35:43.801101+00:00
2022-02-21,675.0,728.0,670.0,710.0,27533,710.0,2026-09-03T19:35:43.801101+00:00
2022-02-22,710.0,780.3,696.0,758.0,24134,758.0,2026-09-03T19:35:43.801101+00:00
2022-02-23,773.1,825.0,742.9,825.0,39640,825.0,2026-09-03T19:35:43.801101+00:00
2022-02-24,809.0,824.0,763.0,821.0,26523,821.0,2026-09-03T19:35:43.801101+00:00
2022-02-27,805.0,812.0,785.0,788.0,26449,788.0,2026-09-03T19:35:43.801101+00:00
2022-02-28,800.0,800.0,709.2,709.2,25503,709.2,2026-09-03T19:35:43.801101+00:00
2022-03-02,695.1,700.0,641.3,670.0,17737,670.0,2026-09-03T19:35:43.801101+00:00
2022-03-06,670.0,693.0,659.0,674.0,9810,674.0,2026-09-03T19:35:43.801101+00:00
