date,open,high,low,close,volume,adj_close,fetched_at
2026-06-22,300.0,345.0,300.0,345.0,260,345.0,2026-09-03T19:37:34.481744+00:00
2026-06-23,346.1,396.7,346.1,396.7,220,396.7,2026-09-03T19:37:34.481744+00:00
2026-06-24,408.6,456.2,408.6,456.2,240,456.2,2026-09-03T19:37:34.481744+00:00
2026-06-25,456.6,524.6,456.6,524.6,338,524.6,2026-09-03T19:37:34.481744+00:00
2026-06-26,540.3,603.2,540.3,603.2,630,603.2,2026-09-03T19:37:34.481744+00:00
2026-06-29,633.3,693.6,633.3,693.6,3620,693.6,2026-09-03T19:37:34.481744+00:00
2026-06-30,728.2,772.5,591.1,596.3,179731,596.3,2026-09-03T19:37:34.481744+00:00
2026-07-01,596.0,655.0,550.0,618.2,75170,618.2,2026-09-03T19:37:34.481744+00:00
2026-07-02,618.0,640.0,590.0,596.6,41840,596.6,2026-09-03T19:37:34.481744+00:00
2026-07-03,566.8,602.0,566.8,584.0,44285,584.0,2026-09-03T19:37:34.481744+00:00
2026-07-06,554.8,583.0,554.2,555.0,51401,555.0,2026-09-03T19:37:34.481744+00:00
2026-07-07,540.0,560.0,530.1,530.5,57686,530.5,2026-09-03T19:37:34.481744+00:00
2026-07-08,530.0,530.0,500.0,510.0,38135,510.0,2026-09-03T19:37:34.481744+00:00
2026-07-09,500.1,505.0,490.1,496.0,27489,496.0,2026-09-03T19:37:34.481744+00:00
2026-07-10,496.0,539.6,485.0,525.8,31763,525.8,2026-09-03T19:37:34.481744+00:00
2026-07-13,520.0,520.0,493.0,493.0,25046,493.0,2026-09-03T19:37:34.481744+00:00
2026-07-14,500.0,504.9,480.2,496.0,31104,496.0,2026-09-03T19:37:34.481744+00:00
2026-07-15,494.0,506.0,492.0,494.0,17167,494.0,2026-09-03T19:37:34.481744+00:00
2026-07-16,496.0,506.8,477.0,494.8,29596,494.8,2026-09-03T19:37:34.481744+00:00
2026-07-17,494.0,524.0,494.0,516.0,44421,516.0,2026-09-03T19:37:34.481744+00:00
2026-07-20,516.0,546.5,504.0,536.1,44722,536.1,2026-09-03T19:37:34.481744+00:00
2026-07-21,536.1,585.0,531.0,563.0,72970,563.0,2026-09-03T19:37:34.481744+00:00
2026-07-22,561.0,570.0,551.0,565.0,44494,565.0,2026-09-03T19:37:34.481744+00:00
2026-07-23,565.0,595.0,551.0,590.0,62548,590.0,2026-09-03T19:37:34.481744+00:00
2026-07-24,581.0,610.0,573.0,574.0,57766,574.0,2026-09-03T19:37:34.481744+00:00
2026-07-27,570.0,580.0,547.0,553.0,55680,553.0,2026-09-03T19:37:34.481744+00:00
2026-07-28,553.0,568.0,540.4,560.0,46693,560.0,2026-09-03T19:37:34.481744+00:00
2026-07-29,560.0,569.0,551.0,557.9,24588,557.9,2026-09-03T19:37:34.481744+00:00
2026-07-30,557.9,565.0,535.0,539.0,38317,539.0,2026-09-03T19:37:34.481744+00:00
2026-07-31,530.0,548.9,520.0,548.9,39253,548.9,2026-09-03T19:37:34.481744+00:00
2026-08-03,542.0,561.0,542.0,550.0,31896,550.0,2026-09-03T19:37:34.481744+00:00
2026-08-04,550.0,554.0,538.0,548.0,31301,548.0,2026-09-03T19:37:34.481744+00:00
2026-08-05,520.6,560.0,520.6,545.0,28402,545.0,2026-09-03T19:37:34.481744+00:00
2026-08-06,533.0,565.0,533.0,552.0,76497,552.0,2026-09-03T19:37:34.481744+00:00
2026-08-07,529.9,570.0,529.9,554.0,37966,554.0,2026-09-03T19:37:34.481744+00:00
2026-08-10,527.0,562.9,527.0,560.0,39899,560.0,2026-09-03T19:37:34.481744+00:00
2026-08-11,532.5,570.0,532.5,556.8,38961,556.8,2026-09-03T19:37:34.481744+00:00
2026-08-12,550.0,556.0,542.2,550.0,19197,550.0,2026-09-03T19:37:34.481744+00:00
2026-08-13,522.5,560.0,522.5,542.0,15904,542.0,2026-09-03T19:37:34.481744+00:00
2026-08-14,535.0,555.0,535.0,542.0,23246,542.0,2026-09-03T19:37:34.481744+00:00
2026-08-17,515.9,555.0,515.9,550.1,36340,550.1,2026-09-03T19:37:34.481744+00:00
2026-08-18,523.5,565.0,523.5,560.0,59865,560.0,2026-09-03T19:37:34.481744+00:00
2026-08-19,533.5,564.0,533.5,562.0,25681,562.0,2026-09-03T19:37:34.481744+00:00
2026-08-20,534.8,564.9,534.8,556.0,22973,556.0,2026-09-03T19:37:34.481744+00:00
2026-08-21,529.2,572.5,529.2,545.0,35665,545.0,2026-09-03T19:37:34.481744+00:00
2026-08-24,545.0,549.0,522.5,530.0,25532,530.0,2026-09-03T19:37:34.481744+00:00
2026-08-25,520.0,542.0,517.1,529.0,23539,529.0,2026-09-03T19:37:34.481744+00:00
2026-08-26,515.0,527.0,500.1,500.1,32526,500.1,2026-09-03T19:37:34.481744+00:00
2026-08-27,500.0,518.5,490.0,509.0,23278,509.0,2026-09-03T19:37:34.481744+00:00
2026-08-31,490.1,505.0,488.0,488.0,18884,488.0,2026-09-03T19:37:34.481744+00:00
2026-09-01,470.2,503.9,470.2,498.5,19469,498.5,2026-09-03T19:37:34.481744+00:00
2026-09-02,488.0,505.0,483.8,505.0,16416,505.0,2026-09-03T19:37:34.481744+00:00
2026-09-03,505.0,520.1,499.0,515.0,23830,515.0,2026-09-03T19:37:34.481744+00:00
