date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,84.0,85.0,84.0,84.0,40,84.0,2026-09-03T19:33:22.727668+00:00
2012-09-11,84.0,83.0,83.0,83.0,20,83.0,2026-09-03T19:33:22.727668+00:00
2012-09-16,83.0,82.0,82.0,82.0,200,82.0,2026-09-03T19:33:22.727668+00:00
2012-09-17,82.0,81.0,81.0,81.0,190,81.0,2026-09-03T19:33:22.727668+00:00
2012-09-19,81.0,82.0,82.0,82.0,490,82.0,2026-09-03T19:33:22.727668+00:00
2012-09-20,82.0,83.0,83.0,83.0,160,83.0,2026-09-03T19:33:22.727668+00:00
2012-09-30,83.0,82.0,82.0,82.0,40,82.0,2026-09-03T19:33:22.727668+00:00
2012-10-01,82.0,84.0,83.0,84.0,170,84.0,2026-09-03T19:33:22.727668+00:00
2012-10-01,82.0,84.0,83.0,84.0,170,84.0,2026-09-03T19:33:22.727668+00:00
2012-10-07,84.0,84.0,84.0,84.0,30,84.0,2026-09-03T19:33:22.727668+00:00
2012-10-08,84.0,85.0,84.0,84.0,170,84.0,2026-09-03T19:33:22.727668+00:00
2012-10-10,84.0,85.0,85.0,85.0,10,85.0,2026-09-03T19:33:22.727668+00:00
2012-10-11,85.0,85.0,85.0,85.0,20,85.0,2026-09-03T19:33:22.727668+00:00
2012-10-14,85.0,85.0,85.0,85.0,20,85.0,2026-09-03T19:33:22.727668+00:00
2012-10-17,85.0,85.0,85.0,85.0,190,85.0,2026-09-03T19:33:22.727668+00:00
2012-11-11,85.0,85.0,85.0,85.0,40,85.0,2026-09-03T19:33:22.727668+00:00
2012-11-27,85.0,84.0,84.0,84.0,40,84.0,2026-09-03T19:33:22.727668+00:00
2012-11-28,84.0,84.0,84.0,84.0,20,84.0,2026-09-03T19:33:22.727668+00:00
2012-12-11,84.0,85.0,85.0,85.0,20,85.0,2026-09-03T19:33:22.727668+00:00
2012-12-13,85.0,85.0,85.0,85.0,10,85.0,2026-09-03T19:33:22.727668+00:00
2012-12-19,85.0,84.0,84.0,84.0,10,84.0,2026-09-03T19:33:22.727668+00:00
2012-12-20,84.0,84.0,84.0,84.0,220,84.0,2026-09-03T19:33:22.727668+00:00
2012-12-26,84.0,85.0,85.0,85.0,120,85.0,2026-09-03T19:33:22.727668+00:00
2012-12-27,85.0,87.0,85.0,87.0,770,87.0,2026-09-03T19:33:22.727668+00:00
2012-12-31,87.0,86.0,86.0,86.0,30,86.0,2026-09-03T19:33:22.727668+00:00
2013-01-01,86.0,86.0,86.0,86.0,10,86.0,2026-09-03T19:33:22.727668+00:00
2013-01-02,86.0,85.0,85.0,85.0,220,85.0,2026-09-03T19:33:22.727668+00:00
2013-01-06,85.0,86.0,86.0,86.0,40,86.0,2026-09-03T19:33:22.727668+00:00
2013-01-07,86.0,85.0,85.0,85.0,10,85.0,2026-09-03T19:33:22.727668+00:00
2013-01-17,85.0,86.0,86.0,86.0,10,86.0,2026-09-03T19:33:22.727668+00:00
2013-01-20,86.0,86.0,86.0,86.0,20,86.0,2026-09-03T19:33:22.727668+00:00
2013-01-23,86.0,87.0,86.0,86.0,60,86.0,2026-09-03T19:33:22.727668+00:00
2013-01-27,86.0,87.0,87.0,87.0,130,87.0,2026-09-03T19:33:22.727668+00:00
2013-01-28,87.0,89.0,88.0,89.0,20,89.0,2026-09-03T19:33:22.727668+00:00
2013-01-30,89.0,94.0,90.0,94.0,50,94.0,2026-09-03T19:33:22.727668+00:00
2013-01-31,94.0,97.0,95.0,97.0,90,97.0,2026-09-03T19:33:22.727668+00:00
2013-02-03,97.0,100.0,98.0,100.0,180,100.0,2026-09-03T19:33:22.727668+00:00
2013-02-04,100.0,102.0,98.0,98.0,170,98.0,2026-09-03T19:33:22.727668+00:00
2013-02-05,98.0,99.0,98.0,98.0,60,98.0,2026-09-03T19:33:22.727668+00:00
2013-02-06,98.0,99.0,99.0,99.0,50,99.0,2026-09-03T19:33:22.727668+00:00
2013-02-07,99.0,100.0,100.0,100.0,190,100.0,2026-09-03T19:33:22.727668+00:00
2013-02-10,100.0,100.0,99.0,100.0,60,100.0,2026-09-03T19:33:22.727668+00:00
2013-02-12,100.0,100.0,100.0,100.0,30,100.0,2026-09-03T19:33:22.727668+00:00
2013-02-13,100.0,100.0,99.0,100.0,180,100.0,2026-09-03T19:33:22.727668+00:00
