date,open,high,low,close,volume,adj_close,fetched_at
2023-08-13,255.0,280.5,255.0,280.5,3951,280.5,2026-09-03T19:36:37.783957+00:00
2023-08-14,286.1,308.5,286.1,308.5,8672,308.5,2026-09-03T19:36:37.783957+00:00
2023-08-15,314.6,339.3,277.7,287.1,56896,287.1,2026-09-03T19:36:37.783957+00:00
2023-08-16,281.4,303.0,264.9,294.0,16159,294.0,2026-09-03T19:36:37.783957+00:00
2023-08-17,288.2,291.3,271.5,287.0,10938,287.0,2026-09-03T19:36:37.783957+00:00
2023-08-20,282.0,285.9,267.1,272.6,11601,272.6,2026-09-03T19:36:37.783957+00:00
2023-08-21,269.0,272.0,261.0,261.0,6816,261.0,2026-09-03T19:36:37.783957+00:00
2023-08-22,260.0,264.9,253.0,257.0,5900,257.0,2026-09-03T19:36:37.783957+00:00
2023-08-23,257.0,269.2,253.0,266.0,14937,266.0,2026-09-03T19:36:37.783957+00:00
2023-08-24,261.0,263.0,254.3,257.0,6972,257.0,2026-09-03T19:36:37.783957+00:00
2023-08-27,251.9,253.0,245.1,247.0,6217,247.0,2026-09-03T19:36:37.783957+00:00
2023-08-28,243.0,256.0,240.0,241.0,4331,241.0,2026-09-03T19:36:37.783957+00:00
2023-08-29,240.0,255.0,230.6,237.0,8770,237.0,2026-09-03T19:36:37.783957+00:00
2023-08-30,232.3,235.7,227.7,231.0,10631,231.0,2026-09-03T19:36:37.783957+00:00
2023-09-03,231.1,254.1,231.1,254.1,17722,254.1,2026-09-03T19:36:37.783957+00:00
2023-09-04,250.0,279.5,245.0,279.5,25428,279.5,2026-09-03T19:36:37.783957+00:00
2023-09-05,274.0,307.4,274.0,295.0,30903,295.0,2026-09-03T19:36:37.783957+00:00
2023-09-07,289.1,317.0,284.0,317.0,26341,317.0,2026-09-03T19:36:37.783957+00:00
2023-09-10,310.7,343.7,294.0,343.7,32028,343.7,2026-09-03T19:36:37.783957+00:00
2023-09-11,336.9,378.0,310.9,378.0,36763,378.0,2026-09-03T19:36:37.783957+00:00
2023-09-12,370.5,370.5,340.2,340.2,13382,340.2,2026-09-03T19:36:37.783957+00:00
2023-09-13,333.4,333.4,308.0,313.0,31300,313.0,2026-09-03T19:36:37.783957+00:00
2023-09-17,307.0,344.3,307.0,337.7,60120,337.7,2026-09-03T19:36:37.783957+00:00
2023-09-18,331.0,371.4,331.0,371.4,31462,371.4,2026-09-03T19:36:37.783957+00:00
