date,open,high,low,close,volume,adj_close,fetched_at
2025-07-17,366.1,402.7,366.1,402.7,590,402.7,2026-09-03T19:37:04.398857+00:00
2025-07-20,401.5,442.9,401.5,442.9,562,442.9,2026-09-03T19:37:04.398857+00:00
2025-07-21,451.7,487.1,451.7,487.1,510,487.1,2026-09-03T19:37:04.398857+00:00
2025-07-22,496.8,535.8,496.8,535.8,690,535.8,2026-09-03T19:37:04.398857+00:00
2025-07-23,529.3,589.3,529.3,589.3,730,589.3,2026-09-03T19:37:04.398857+00:00
2025-07-24,595.3,648.2,595.3,648.2,1070,648.2,2026-09-03T19:37:04.398857+00:00
2025-07-27,661.1,713.0,661.1,713.0,1400,713.0,2026-09-03T19:37:04.398857+00:00
2025-07-28,715.0,784.3,715.0,784.3,1223,784.3,2026-09-03T19:37:04.398857+00:00
2025-07-29,799.9,862.7,799.9,862.7,1730,862.7,2026-09-03T19:37:04.398857+00:00
2025-07-30,862.0,948.9,862.0,948.9,2381,948.9,2026-09-03T19:37:04.398857+00:00
2025-07-31,967.8,1043.7,967.8,1043.7,15747,1043.7,2026-09-03T19:37:04.398857+00:00
2025-08-03,1064.5,1148.0,1064.5,1148.0,40112,1148.0,2026-09-03T19:37:04.398857+00:00
2025-08-04,1170.9,1262.8,1033.2,1033.2,285335,1033.2,2026-09-03T19:37:04.398857+00:00
2025-08-05,1012.6,1025.0,930.0,957.27,385673,957.27,2026-09-03T19:37:04.398857+00:00
2025-08-06,940.0,1052.9,940.0,1052.9,104497,1052.9,2026-09-03T19:37:04.398857+00:00
2025-08-07,1073.9,1140.0,1010.0,1052.64,126126,1052.64,2026-09-03T19:37:04.398857+00:00
2025-08-11,1031.6,1031.6,975.0,979.04,165689,979.04,2026-09-03T19:37:04.398857+00:00
2025-08-12,960.0,987.0,959.5,967.78,67340,967.78,2026-09-03T19:37:04.398857+00:00
2025-08-13,950.0,997.0,950.0,962.35,44822,962.35,2026-09-03T19:37:04.398857+00:00
2025-08-14,955.0,971.0,937.0,938.61,70398,938.61,2026-09-03T19:37:04.398857+00:00
2025-08-17,920.0,930.0,880.1,883.45,111100,883.45,2026-09-03T19:37:04.398857+00:00
2025-08-18,883.0,905.0,870.0,877.67,48779,877.67,2026-09-03T19:37:04.398857+00:00
2025-08-19,870.0,902.7,870.0,891.12,33059,891.12,2026-09-03T19:37:04.398857+00:00
2025-08-20,873.3,899.0,873.3,884.04,27254,884.04,2026-09-03T19:37:04.398857+00:00
2025-08-21,895.0,895.0,871.4,874.34,33646,874.34,2026-09-03T19:37:04.398857+00:00
2025-08-24,870.5,885.0,860.0,861.5,41048,861.5,2026-09-03T19:37:04.398857+00:00
2025-08-25,852.1,862.0,846.2,853.32,32775,853.32,2026-09-03T19:37:04.398857+00:00
2025-08-26,850.0,915.0,850.0,881.91,31136,881.91,2026-09-03T19:37:04.398857+00:00
