date,open,high,low,close,volume,adj_close,fetched_at
2017-06-13,386.0,395.0,380.0,391.0,5391,391.0,2026-09-03T19:34:44.330212+00:00
2017-06-14,391.0,390.0,385.0,388.0,7302,388.0,2026-09-03T19:34:44.330212+00:00
2017-06-15,388.0,396.0,382.0,382.0,8263,382.0,2026-09-03T19:34:44.330212+00:00
2017-06-18,382.0,385.0,375.0,378.0,4470,378.0,2026-09-03T19:34:44.330212+00:00
2017-06-19,378.0,380.0,362.0,363.0,4189,363.0,2026-09-03T19:34:44.330212+00:00
2017-06-20,363.0,374.0,356.0,374.0,2483,374.0,2026-09-03T19:34:44.330212+00:00
2017-06-21,374.0,374.0,363.0,369.0,1679,369.0,2026-09-03T19:34:44.330212+00:00
2017-06-22,369.0,372.0,365.0,367.0,1763,367.0,2026-09-03T19:34:44.330212+00:00
2017-06-25,367.0,375.0,360.0,369.0,2346,369.0,2026-09-03T19:34:44.330212+00:00
2017-06-27,369.0,367.0,360.0,360.0,3500,360.0,2026-09-03T19:34:44.330212+00:00
2017-06-28,360.0,365.0,358.0,359.0,2711,359.0,2026-09-03T19:34:44.330212+00:00
2017-07-02,359.0,353.0,345.0,346.0,2447,346.0,2026-09-03T19:34:44.330212+00:00
2017-07-03,346.0,353.0,345.0,345.0,4070,345.0,2026-09-03T19:34:44.330212+00:00
2017-07-04,345.0,350.0,341.0,341.0,1804,341.0,2026-09-03T19:34:44.330212+00:00
2017-07-05,341.0,344.0,336.0,340.0,3798,340.0,2026-09-03T19:34:44.330212+00:00
2017-07-06,340.0,352.0,341.0,342.0,2097,342.0,2026-09-03T19:34:44.330212+00:00
2017-07-09,342.0,344.0,336.0,337.0,3039,337.0,2026-09-03T19:34:44.330212+00:00
2017-07-10,337.0,338.0,331.0,331.0,5720,331.0,2026-09-03T19:34:44.330212+00:00
2017-07-11,331.0,344.0,330.0,339.0,5026,339.0,2026-09-03T19:34:44.330212+00:00
2017-07-12,339.0,354.0,334.0,352.0,4177,352.0,2026-09-03T19:34:44.330212+00:00
2017-07-13,352.0,347.0,341.0,341.0,3008,341.0,2026-09-03T19:34:44.330212+00:00
2017-07-16,341.0,341.0,335.0,336.0,1372,336.0,2026-09-03T19:34:44.330212+00:00
2017-07-17,336.0,345.0,333.0,340.0,1888,340.0,2026-09-03T19:34:44.330212+00:00
2017-07-18,340.0,348.0,337.0,345.0,1647,345.0,2026-09-03T19:34:44.330212+00:00
2017-07-19,345.0,363.0,340.0,344.0,2661,344.0,2026-09-03T19:34:44.330212+00:00
2017-07-20,344.0,344.0,333.0,340.0,5354,340.0,2026-09-03T19:34:44.330212+00:00
2017-07-23,340.0,340.0,334.0,336.0,2588,336.0,2026-09-03T19:34:44.330212+00:00
2017-07-24,336.0,340.0,334.0,337.0,1995,337.0,2026-09-03T19:34:44.330212+00:00
2017-07-25,337.0,340.0,335.0,337.0,1489,337.0,2026-09-03T19:34:44.330212+00:00
2017-07-26,337.0,345.0,340.0,345.0,6312,345.0,2026-09-03T19:34:44.330212+00:00
2017-07-27,345.0,350.0,330.0,344.0,2004,344.0,2026-09-03T19:34:44.330212+00:00
2017-07-30,344.0,344.0,335.0,337.0,2321,337.0,2026-09-03T19:34:44.330212+00:00
2017-07-31,337.0,340.0,332.0,338.0,5884,338.0,2026-09-03T19:34:44.330212+00:00
2017-08-01,338.0,360.0,339.0,360.0,5146,360.0,2026-09-03T19:34:44.330212+00:00
2017-08-02,360.0,353.0,335.0,341.0,3739,341.0,2026-09-03T19:34:44.330212+00:00
2017-08-03,341.0,349.0,337.0,349.0,1889,349.0,2026-09-03T19:34:44.330212+00:00
2017-08-06,349.0,346.0,339.0,341.0,1633,341.0,2026-09-03T19:34:44.330212+00:00
2017-08-07,341.0,341.0,333.0,334.0,7671,334.0,2026-09-03T19:34:44.330212+00:00
2017-08-09,334.0,334.0,329.0,333.0,5343,333.0,2026-09-03T19:34:44.330212+00:00
2017-08-10,333.0,333.0,328.0,331.0,2688,331.0,2026-09-03T19:34:44.330212+00:00
2017-08-13,331.0,331.0,322.0,325.0,3814,325.0,2026-09-03T19:34:44.330212+00:00
2017-08-15,325.0,324.0,307.0,312.0,4539,312.0,2026-09-03T19:34:44.330212+00:00
2017-08-16,312.0,322.0,303.0,309.0,3854,309.0,2026-09-03T19:34:44.330212+00:00
2017-08-17,309.0,307.0,300.0,307.0,1299,307.0,2026-09-03T19:34:44.330212+00:00
2017-08-20,307.0,302.0,296.0,300.0,1556,300.0,2026-09-03T19:34:44.330212+00:00
2017-08-21,300.0,305.0,290.0,294.0,842,294.0,2026-09-03T19:34:44.330212+00:00
2017-08-22,294.0,296.0,282.0,291.0,4023,291.0,2026-09-03T19:34:44.330212+00:00
2017-08-23,291.0,296.0,282.0,288.0,1338,288.0,2026-09-03T19:34:44.330212+00:00
2017-08-24,288.0,294.0,284.0,290.0,1141,290.0,2026-09-03T19:34:44.330212+00:00
2017-08-27,290.0,300.0,275.0,300.0,6252,300.0,2026-09-03T19:34:44.330212+00:00
2017-08-28,300.0,310.0,286.0,304.0,2635,304.0,2026-09-03T19:34:44.330212+00:00
2017-08-30,304.0,298.0,290.0,290.0,689,290.0,2026-09-03T19:34:44.330212+00:00
2017-08-31,290.0,290.0,282.0,282.0,1122,282.0,2026-09-03T19:34:44.330212+00:00
2017-09-04,282.0,278.0,265.0,278.0,2279,278.0,2026-09-03T19:34:44.330212+00:00
2017-09-06,278.0,279.0,273.0,274.0,2243,274.0,2026-09-03T19:34:44.330212+00:00
2017-09-07,274.0,274.0,254.0,260.0,5305,260.0,2026-09-03T19:34:44.330212+00:00
2017-09-10,260.0,256.0,246.0,251.0,1852,251.0,2026-09-03T19:34:44.330212+00:00
2017-09-11,251.0,250.0,243.0,246.0,549,246.0,2026-09-03T19:34:44.330212+00:00
2017-09-12,246.0,245.0,241.0,244.0,1127,244.0,2026-09-03T19:34:44.330212+00:00
2017-09-13,244.0,248.0,243.0,248.0,1139,248.0,2026-09-03T19:34:44.330212+00:00
2017-09-14,248.0,257.0,247.0,257.0,1826,257.0,2026-09-03T19:34:44.330212+00:00
2017-09-17,257.0,266.0,253.0,266.0,1937,266.0,2026-09-03T19:34:44.330212+00:00
2017-09-18,266.0,271.0,261.0,263.0,1112,263.0,2026-09-03T19:34:44.330212+00:00
2017-09-20,263.0,261.0,258.0,260.0,449,260.0,2026-09-03T19:34:44.330212+00:00
2017-09-24,260.0,262.0,256.0,256.0,295,256.0,2026-09-03T19:34:44.330212+00:00
