date,open,high,low,close,volume,adj_close,fetched_at
2021-02-07,232.0,252.0,232.0,249.0,13527,249.0,2026-09-03T19:35:24.676036+00:00
2021-02-08,237.0,249.0,237.0,242.0,5610,242.0,2026-09-03T19:35:24.676036+00:00
2021-02-09,239.0,249.0,237.0,238.0,4380,238.0,2026-09-03T19:35:24.676036+00:00
2021-02-10,235.0,242.0,235.0,242.0,4360,242.0,2026-09-03T19:35:24.676036+00:00
2021-02-11,246.0,248.0,232.0,242.0,5256,242.0,2026-09-03T19:35:24.676036+00:00
2021-02-14,238.0,240.0,230.0,233.0,1884,233.0,2026-09-03T19:35:24.676036+00:00
2021-02-15,235.0,248.0,229.0,243.0,4219,243.0,2026-09-03T19:35:24.676036+00:00
2021-02-16,239.0,240.0,235.0,235.0,2740,235.0,2026-09-03T19:35:24.676036+00:00
2021-02-17,224.0,236.0,224.0,234.0,6910,234.0,2026-09-03T19:35:24.676036+00:00
2021-02-18,230.0,244.0,230.0,240.0,2670,240.0,2026-09-03T19:35:24.676036+00:00
2021-02-21,240.0,244.0,236.0,237.0,11214,237.0,2026-09-03T19:35:24.676036+00:00
2021-02-22,226.0,255.0,226.0,250.0,23943,250.0,2026-09-03T19:35:24.676036+00:00
2021-02-23,259.0,259.0,237.0,251.0,6655,251.0,2026-09-03T19:35:24.676036+00:00
2021-02-24,246.0,249.0,239.0,240.0,4170,240.0,2026-09-03T19:35:24.676036+00:00
2021-02-25,236.0,245.0,232.0,240.0,7849,240.0,2026-09-03T19:35:24.676036+00:00
2021-02-28,236.0,236.0,226.0,231.0,6785,231.0,2026-09-03T19:35:24.676036+00:00
2021-03-01,227.0,238.0,223.0,232.0,3675,232.0,2026-09-03T19:35:24.676036+00:00
2021-03-02,236.0,236.0,225.0,225.0,4820,225.0,2026-09-03T19:35:24.676036+00:00
2021-03-03,224.0,228.0,220.0,222.0,5385,222.0,2026-09-03T19:35:24.676036+00:00
2021-03-04,221.0,234.0,221.0,231.0,6992,231.0,2026-09-03T19:35:24.676036+00:00
2021-03-07,230.0,235.0,222.0,232.0,4565,232.0,2026-09-03T19:35:24.676036+00:00
2021-03-09,243.0,243.0,226.0,226.0,5331,226.0,2026-09-03T19:35:24.676036+00:00
2021-03-10,226.0,232.0,223.0,231.0,1911,231.0,2026-09-03T19:35:24.676036+00:00
2021-03-14,240.0,241.0,229.0,236.0,7749,236.0,2026-09-03T19:35:24.676036+00:00
2021-03-15,236.0,240.0,229.0,231.0,3540,231.0,2026-09-03T19:35:24.676036+00:00
2021-03-16,220.0,245.0,220.0,237.0,7101,237.0,2026-09-03T19:35:24.676036+00:00
2021-03-17,248.0,260.0,230.0,260.0,23083,260.0,2026-09-03T19:35:24.676036+00:00
2021-03-18,273.0,286.0,258.0,286.0,67827,286.0,2026-09-03T19:35:24.676036+00:00
2021-03-21,300.0,314.0,279.0,314.0,30005,314.0,2026-09-03T19:35:24.676036+00:00
2021-03-22,329.0,329.0,289.0,312.0,19755,312.0,2026-09-03T19:35:24.676036+00:00
2021-03-23,327.0,333.0,290.0,315.0,34234,315.0,2026-09-03T19:35:24.676036+00:00
2021-03-24,309.0,323.0,297.0,317.0,10707,317.0,2026-09-03T19:35:24.676036+00:00
2021-03-25,317.0,327.0,294.0,320.0,17965,320.0,2026-09-03T19:35:24.676036+00:00
2021-03-29,314.0,339.0,302.0,338.0,11472,338.0,2026-09-03T19:35:24.676036+00:00
2021-03-30,332.0,332.0,308.0,320.0,13003,320.0,2026-09-03T19:35:24.676036+00:00
2021-03-31,320.0,325.0,305.0,310.0,15937,310.0,2026-09-03T19:35:24.676036+00:00
2021-04-01,312.0,322.0,300.0,302.0,12433,302.0,2026-09-03T19:35:24.676036+00:00
2021-04-04,298.0,315.0,295.0,305.0,11840,305.0,2026-09-03T19:35:24.676036+00:00
2021-04-05,315.0,315.0,287.0,300.0,6710,300.0,2026-09-03T19:35:24.676036+00:00
2021-04-06,295.0,330.0,294.0,330.0,8063,330.0,2026-09-03T19:35:24.676036+00:00
2021-04-07,330.0,330.0,306.0,310.0,17906,310.0,2026-09-03T19:35:24.676036+00:00
2021-04-08,305.0,312.0,300.0,307.0,6952,307.0,2026-09-03T19:35:24.676036+00:00
2021-04-12,301.0,301.0,294.0,300.0,14735,300.0,2026-09-03T19:35:24.676036+00:00
2021-04-13,294.0,300.0,293.0,297.0,8654,297.0,2026-09-03T19:35:24.676036+00:00
