date,open,high,low,close,volume,adj_close,fetched_at
2019-05-21,91.0,97.0,91.0,95.0,14515,95.0,2026-09-03T19:35:02.401325+00:00
2019-05-22,96.0,102.0,96.0,100.0,51310,100.0,2026-09-03T19:35:02.401325+00:00
2019-05-23,98.0,102.0,94.0,96.0,20010,96.0,2026-09-03T19:35:02.401325+00:00
2019-05-26,96.0,96.0,94.0,96.0,6955,96.0,2026-09-03T19:35:02.401325+00:00
2019-05-27,96.0,96.0,94.0,94.0,3692,94.0,2026-09-03T19:35:02.401325+00:00
2019-05-28,95.0,97.0,93.0,97.0,27835,97.0,2026-09-03T19:35:02.401325+00:00
2019-05-29,96.0,100.0,94.0,96.0,4730,96.0,2026-09-03T19:35:02.401325+00:00
2019-05-30,100.0,100.0,94.0,95.0,6166,95.0,2026-09-03T19:35:02.401325+00:00
2019-06-02,96.0,100.0,93.0,100.0,38605,100.0,2026-09-03T19:35:02.401325+00:00
2019-06-03,100.0,101.0,96.0,97.0,17130,97.0,2026-09-03T19:35:02.401325+00:00
2019-06-04,98.0,98.0,93.0,95.0,4686,95.0,2026-09-03T19:35:02.401325+00:00
2019-06-06,94.0,98.0,93.0,98.0,3015,98.0,2026-09-03T19:35:02.401325+00:00
2019-06-10,97.0,97.0,92.0,92.0,16384,92.0,2026-09-03T19:35:02.401325+00:00
2019-06-11,93.0,95.0,91.0,92.0,17080,92.0,2026-09-03T19:35:02.401325+00:00
2019-06-12,91.0,93.0,91.0,92.0,4300,92.0,2026-09-03T19:35:02.401325+00:00
2019-06-13,91.0,94.0,91.0,93.0,3770,93.0,2026-09-03T19:35:02.401325+00:00
2019-06-16,93.0,93.0,91.0,92.0,5430,92.0,2026-09-03T19:35:02.401325+00:00
2019-06-17,93.0,94.0,91.0,92.0,10220,92.0,2026-09-03T19:35:02.401325+00:00
2019-06-18,96.0,96.0,91.0,91.0,3000,91.0,2026-09-03T19:35:02.401325+00:00
2019-06-19,91.0,93.0,91.0,91.0,3870,91.0,2026-09-03T19:35:02.401325+00:00
2019-06-20,91.0,92.0,91.0,92.0,2170,92.0,2026-09-03T19:35:02.401325+00:00
2019-06-23,93.0,93.0,91.0,92.0,3525,92.0,2026-09-03T19:35:02.401325+00:00
2019-06-24,92.0,93.0,91.0,92.0,4100,92.0,2026-09-03T19:35:02.401325+00:00
2019-06-25,91.0,93.0,91.0,92.0,3880,92.0,2026-09-03T19:35:02.401325+00:00
2019-06-26,91.0,92.0,91.0,91.0,2850,91.0,2026-09-03T19:35:02.401325+00:00
2019-06-27,91.0,92.0,91.0,92.0,3710,92.0,2026-09-03T19:35:02.401325+00:00
2019-06-30,90.0,92.0,90.0,91.0,3440,91.0,2026-09-03T19:35:02.401325+00:00
