date,open,high,low,close,volume,adj_close,fetched_at
2023-08-13,253.6,278.9,253.6,278.9,4197,278.9,2026-09-03T19:36:36.397400+00:00
2023-08-14,284.4,306.7,284.4,306.7,4320,306.7,2026-09-03T19:36:36.397400+00:00
2023-08-15,312.8,337.3,288.1,312.0,60856,312.0,2026-09-03T19:36:36.397400+00:00
2023-08-16,315.0,318.0,288.0,308.0,21018,308.0,2026-09-03T19:36:36.397400+00:00
2023-08-17,302.0,331.0,298.2,327.0,11300,327.0,2026-09-03T19:36:36.397400+00:00
2023-08-20,325.0,330.0,297.5,297.5,11545,297.5,2026-09-03T19:36:36.397400+00:00
2023-08-21,291.6,300.5,291.5,295.0,5930,295.0,2026-09-03T19:36:36.397400+00:00
2023-08-22,290.0,311.9,290.0,306.0,5120,306.0,2026-09-03T19:36:36.397400+00:00
2023-08-23,312.1,312.1,301.2,307.5,6450,307.5,2026-09-03T19:36:36.397400+00:00
2023-08-24,301.5,309.0,293.5,299.0,7345,299.0,2026-09-03T19:36:36.397400+00:00
2023-08-27,293.1,293.1,281.1,281.7,3930,281.7,2026-09-03T19:36:36.397400+00:00
2023-08-28,280.0,285.2,269.1,276.5,5020,276.5,2026-09-03T19:36:36.397400+00:00
2023-08-29,277.0,287.0,271.0,273.0,3630,273.0,2026-09-03T19:36:36.397400+00:00
2023-08-30,268.0,281.0,268.0,277.1,2490,277.1,2026-09-03T19:36:36.397400+00:00
2023-09-03,272.6,277.4,262.1,269.0,4350,269.0,2026-09-03T19:36:36.397400+00:00
2023-09-04,264.1,295.0,264.0,294.0,8672,294.0,2026-09-03T19:36:36.397400+00:00
2023-09-05,290.0,294.0,281.5,292.3,4994,292.3,2026-09-03T19:36:36.397400+00:00
2023-09-07,286.5,313.0,275.6,297.0,4230,297.0,2026-09-03T19:36:36.397400+00:00
2023-09-10,291.1,306.9,285.4,289.0,3660,289.0,2026-09-03T19:36:36.397400+00:00
2023-09-11,283.3,306.5,283.3,296.0,6670,296.0,2026-09-03T19:36:36.397400+00:00
2023-09-12,290.1,316.0,287.4,316.0,7254,316.0,2026-09-03T19:36:36.397400+00:00
2023-09-13,316.0,321.9,302.0,316.2,4555,316.2,2026-09-03T19:36:36.397400+00:00
2023-09-17,309.9,320.0,292.4,314.0,7578,314.0,2026-09-03T19:36:36.397400+00:00
2023-09-18,307.8,315.0,298.0,314.0,4883,314.0,2026-09-03T19:36:36.397400+00:00
2023-09-19,307.8,345.4,304.6,330.0,9589,330.0,2026-09-03T19:36:36.397400+00:00
2023-09-21,335.1,348.0,330.0,334.0,9341,334.0,2026-09-03T19:36:36.397400+00:00
2023-09-24,327.7,349.8,322.1,349.8,9301,349.8,2026-09-03T19:36:36.397400+00:00
2023-09-25,348.0,374.3,342.0,367.0,6800,367.0,2026-09-03T19:36:36.397400+00:00
2023-09-26,374.0,375.3,354.9,373.0,13860,373.0,2026-09-03T19:36:36.397400+00:00
2023-09-27,365.6,365.6,346.2,353.9,10380,353.9,2026-09-03T19:36:36.397400+00:00
2023-10-01,346.9,346.9,321.5,329.0,13660,329.0,2026-09-03T19:36:36.397400+00:00
2023-10-02,323.4,344.7,314.3,344.7,10815,344.7,2026-09-03T19:36:36.397400+00:00
2023-10-03,337.9,358.0,331.3,353.0,10872,353.0,2026-09-03T19:36:36.397400+00:00
