date,open,high,low,close,volume,adj_close,fetched_at
2020-08-30,646.0,684.0,646.0,684.0,40,684.0,2026-09-03T19:34:51.969088+00:00
2020-08-31,697.0,752.0,697.0,752.0,79,752.0,2026-09-03T19:34:51.969088+00:00
2020-09-02,767.0,827.0,767.0,827.0,76,827.0,2026-09-03T19:34:51.969088+00:00
2020-09-03,843.0,909.0,843.0,909.0,730,909.0,2026-09-03T19:34:51.969088+00:00
2020-09-06,954.0,999.0,954.0,999.0,574,999.0,2026-09-03T19:34:51.969088+00:00
2020-09-07,1048.0,1098.0,1048.0,1098.0,17949,1098.0,2026-09-03T19:34:51.969088+00:00
2020-09-08,1152.0,1207.0,1152.0,1207.0,14488,1207.0,2026-09-03T19:34:51.969088+00:00
2020-09-09,1267.0,1327.0,1243.0,1265.0,4736,1265.0,2026-09-03T19:34:51.969088+00:00
2020-09-10,1245.0,1256.0,1225.0,1237.0,2691,1237.0,2026-09-03T19:34:51.969088+00:00
2020-09-13,1215.0,1215.0,1182.0,1187.0,6585,1187.0,2026-09-03T19:34:51.969088+00:00
2020-09-14,1165.0,1180.0,1141.0,1156.0,2584,1156.0,2026-09-03T19:34:51.969088+00:00
2020-09-15,1150.0,1150.0,1137.0,1138.0,1638,1138.0,2026-09-03T19:34:51.969088+00:00
2020-09-16,1120.0,1173.0,1117.0,1142.0,1716,1142.0,2026-09-03T19:34:51.969088+00:00
2020-09-17,1164.0,1170.0,1135.0,1149.0,3427,1149.0,2026-09-03T19:34:51.969088+00:00
2020-09-20,1092.0,1135.0,1092.0,1133.0,354,1133.0,2026-09-03T19:34:51.969088+00:00
2020-09-21,1135.0,1135.0,1108.0,1111.0,2734,1111.0,2026-09-03T19:34:51.969088+00:00
2020-09-22,1111.0,1111.0,1084.0,1084.0,2830,1084.0,2026-09-03T19:34:51.969088+00:00
2020-09-23,1075.0,1098.0,1075.0,1079.0,2443,1079.0,2026-09-03T19:34:51.969088+00:00
2020-09-24,1100.0,1128.0,1085.0,1111.0,1636,1111.0,2026-09-03T19:34:51.969088+00:00
2020-09-27,1166.0,1166.0,1100.0,1110.0,756,1110.0,2026-09-03T19:34:51.969088+00:00
2020-09-28,1091.0,1095.0,1085.0,1090.0,1044,1090.0,2026-09-03T19:34:51.969088+00:00
2020-09-29,1085.0,1085.0,1070.0,1074.0,1306,1074.0,2026-09-03T19:34:51.969088+00:00
2020-09-30,1055.0,1085.0,1055.0,1080.0,685,1080.0,2026-09-03T19:34:51.969088+00:00
2020-10-01,1060.0,1100.0,1060.0,1099.0,1105,1099.0,2026-09-03T19:34:51.969088+00:00
2020-10-04,1081.0,1203.0,1081.0,1175.0,878,1175.0,2026-09-03T19:34:51.969088+00:00
2020-10-05,1152.0,1152.0,1110.0,1128.0,1096,1128.0,2026-09-03T19:34:51.969088+00:00
2020-10-06,1120.0,1121.0,1112.0,1115.0,2523,1115.0,2026-09-03T19:34:51.969088+00:00
2020-10-07,1095.0,1181.0,1095.0,1149.0,3352,1149.0,2026-09-03T19:34:51.969088+00:00
2020-10-08,1127.0,1127.0,1100.0,1111.0,937,1111.0,2026-09-03T19:34:51.969088+00:00
2020-10-11,1100.0,1113.0,1100.0,1111.0,1619,1111.0,2026-09-03T19:34:51.969088+00:00
2020-10-12,1110.0,1115.0,1102.0,1110.0,1320,1110.0,2026-09-03T19:34:51.969088+00:00
2020-10-13,1091.0,1110.0,1091.0,1095.0,1380,1095.0,2026-09-03T19:34:51.969088+00:00
2020-10-14,1041.0,1147.0,1041.0,1100.0,386,1100.0,2026-09-03T19:34:51.969088+00:00
2020-10-15,1095.0,1098.0,1089.0,1094.0,974,1094.0,2026-09-03T19:34:51.969088+00:00
