date,open,high,low,close,volume,adj_close,fetched_at
2015-11-10,312.0,343.0,318.0,343.0,168,343.0,2026-09-03T19:34:25.366029+00:00
2015-11-29,343.0,376.0,349.0,376.0,50,376.0,2026-09-03T19:34:25.366029+00:00
2015-11-30,376.0,383.0,383.0,383.0,10,383.0,2026-09-03T19:34:25.366029+00:00
2015-12-01,383.0,404.0,390.0,404.0,30,404.0,2026-09-03T19:34:25.366029+00:00
2015-12-02,404.0,420.0,412.0,420.0,20,420.0,2026-09-03T19:34:25.366029+00:00
2015-12-03,420.0,436.0,428.0,436.0,28,436.0,2026-09-03T19:34:25.366029+00:00
2015-12-07,436.0,479.0,444.0,479.0,76,479.0,2026-09-03T19:34:25.366029+00:00
2015-12-08,479.0,526.0,502.0,526.0,319,526.0,2026-09-03T19:34:25.366029+00:00
2015-12-09,526.0,578.0,536.0,578.0,130,578.0,2026-09-03T19:34:25.366029+00:00
2015-12-10,578.0,635.0,589.0,635.0,92,635.0,2026-09-03T19:34:25.366029+00:00
2015-12-13,635.0,698.0,647.0,698.0,50,698.0,2026-09-03T19:34:25.366029+00:00
2015-12-14,698.0,767.0,711.0,767.0,85,767.0,2026-09-03T19:34:25.366029+00:00
2015-12-15,767.0,843.0,782.0,843.0,648,843.0,2026-09-03T19:34:25.366029+00:00
2015-12-16,843.0,927.0,859.0,927.0,4082,927.0,2026-09-03T19:34:25.366029+00:00
2015-12-17,927.0,1019.0,945.0,1019.0,11089,1019.0,2026-09-03T19:34:25.366029+00:00
2015-12-20,1019.0,1044.0,967.0,980.0,16297,980.0,2026-09-03T19:34:25.366029+00:00
2015-12-21,980.0,985.0,900.0,951.0,7937,951.0,2026-09-03T19:34:25.366029+00:00
2015-12-22,951.0,1020.0,953.0,1020.0,6941,1020.0,2026-09-03T19:34:25.366029+00:00
2015-12-23,1020.0,1075.0,1000.0,1050.0,9042,1050.0,2026-09-03T19:34:25.366029+00:00
2015-12-24,1050.0,1155.0,1029.0,1155.0,7798,1155.0,2026-09-03T19:34:25.366029+00:00
2015-12-27,1155.0,1178.0,1110.0,1161.0,8188,1161.0,2026-09-03T19:34:25.366029+00:00
2015-12-28,1161.0,1175.0,1141.0,1153.0,7129,1153.0,2026-09-03T19:34:25.366029+00:00
2015-12-29,1153.0,1170.0,1108.0,1170.0,7982,1170.0,2026-09-03T19:34:25.366029+00:00
2015-12-31,1170.0,1203.0,1084.0,1200.0,5459,1200.0,2026-09-03T19:34:25.366029+00:00
2016-01-03,1200.0,1225.0,1180.0,1225.0,6898,1225.0,2026-09-03T19:34:25.366029+00:00
2016-01-04,1225.0,1235.0,1172.0,1195.0,3188,1195.0,2026-09-03T19:34:25.366029+00:00
2016-01-05,1195.0,1200.0,1170.0,1184.0,4100,1184.0,2026-09-03T19:34:25.366029+00:00
2016-01-06,1184.0,1190.0,1105.0,1136.0,3875,1136.0,2026-09-03T19:34:25.366029+00:00
2016-01-07,1136.0,1155.0,1120.0,1136.0,1902,1136.0,2026-09-03T19:34:25.366029+00:00
2016-01-10,1136.0,1175.0,1130.0,1175.0,6088,1175.0,2026-09-03T19:34:25.366029+00:00
2016-01-11,1175.0,1175.0,1130.0,1161.0,5645,1161.0,2026-09-03T19:34:25.366029+00:00
2016-01-12,1161.0,1208.0,1100.0,1201.0,7670,1201.0,2026-09-03T19:34:25.366029+00:00
2016-01-13,1201.0,1250.0,1195.0,1228.0,10301,1228.0,2026-09-03T19:34:25.366029+00:00
2016-01-14,1228.0,1275.0,1200.0,1249.0,7928,1249.0,2026-09-03T19:34:25.366029+00:00
2016-01-31,1249.0,1373.0,1273.0,1373.0,100,1373.0,2026-09-03T19:34:25.366029+00:00
