date,open,high,low,close,volume,adj_close,fetched_at
2023-12-21,365.3,401.8,365.3,401.8,7730,401.8,2026-09-03T19:36:50.124428+00:00
2023-12-24,409.8,441.9,409.8,441.9,9105,441.9,2026-09-03T19:36:50.124428+00:00
2023-12-27,450.7,486.0,450.7,486.0,18977,486.0,2026-09-03T19:36:50.124428+00:00
2023-12-28,495.7,534.6,495.7,534.6,46854,534.6,2026-09-03T19:36:50.124428+00:00
2024-01-01,545.2,588.0,523.9,549.0,150275,549.0,2026-09-03T19:36:50.124428+00:00
2024-01-02,555.0,570.0,530.2,540.4,107187,540.4,2026-09-03T19:36:50.124428+00:00
2024-01-03,545.0,545.0,530.0,542.0,60268,542.0,2026-09-03T19:36:50.124428+00:00
2024-01-04,543.0,595.0,542.0,585.0,68836,585.0,2026-09-03T19:36:50.124428+00:00
2024-01-07,596.7,607.0,555.5,559.0,76780,559.0,2026-09-03T19:36:50.124428+00:00
2024-01-08,559.0,595.4,548.0,586.0,52235,586.0,2026-09-03T19:36:50.124428+00:00
2024-01-09,586.0,597.0,562.0,567.0,43715,567.0,2026-09-03T19:36:50.124428+00:00
2024-01-10,568.0,573.1,555.0,559.0,27275,559.0,2026-09-03T19:36:50.124428+00:00
2024-01-11,550.0,568.0,548.0,560.0,27247,560.0,2026-09-03T19:36:50.124428+00:00
2024-01-14,570.0,608.0,570.0,582.0,90565,582.0,2026-09-03T19:36:50.124428+00:00
2024-01-16,593.0,600.0,565.1,577.0,62737,577.0,2026-09-03T19:36:50.124428+00:00
2024-01-17,588.5,588.5,545.0,551.0,58811,551.0,2026-09-03T19:36:50.124428+00:00
2024-01-18,540.0,570.0,530.0,542.0,62515,542.0,2026-09-03T19:36:50.124428+00:00
2024-01-21,543.0,564.0,537.0,541.0,40419,541.0,2026-09-03T19:36:50.124428+00:00
2024-01-22,540.0,550.0,528.0,530.1,35703,530.1,2026-09-03T19:36:50.124428+00:00
2024-01-23,521.0,540.7,516.4,522.0,32181,522.0,2026-09-03T19:36:50.124428+00:00
2024-01-24,521.0,530.0,509.0,509.4,28559,509.4,2026-09-03T19:36:50.124428+00:00
2024-01-25,509.4,515.0,496.1,505.0,28866,505.0,2026-09-03T19:36:50.124428+00:00
2024-01-28,505.0,527.0,503.1,525.0,31024,525.0,2026-09-03T19:36:50.124428+00:00
2024-01-29,515.0,537.0,515.0,530.2,30539,530.2,2026-09-03T19:36:50.124428+00:00
2024-01-30,531.2,539.6,525.0,527.0,38007,527.0,2026-09-03T19:36:50.124428+00:00
2024-01-31,527.0,532.0,504.7,509.0,37216,509.0,2026-09-03T19:36:50.124428+00:00
2024-02-01,509.0,513.0,502.1,505.0,26731,505.0,2026-09-03T19:36:50.124428+00:00
2024-02-04,500.0,510.0,491.1,501.2,17918,501.2,2026-09-03T19:36:50.124428+00:00
