date,open,high,low,close,volume,adj_close,fetched_at
2022-01-19,831.0,831.0,831.0,831.0,1,831.0,2026-09-03T19:34:53.443313+00:00
2022-01-23,847.6,914.1,847.6,914.1,65,914.1,2026-09-03T19:34:53.443313+00:00
2022-01-24,932.3,1005.5,932.3,1005.5,82,1005.5,2026-09-03T19:34:53.443313+00:00
2022-01-25,1025.6,1106.0,1025.6,1106.0,70,1106.0,2026-09-03T19:34:53.443313+00:00
2022-01-26,1128.1,1216.6,1128.1,1216.6,324,1216.6,2026-09-03T19:34:53.443313+00:00
2022-01-27,1240.9,1338.2,1240.9,1338.2,111,1338.2,2026-09-03T19:34:53.443313+00:00
2022-01-30,1364.9,1472.0,1364.9,1472.0,585,1472.0,2026-09-03T19:34:53.443313+00:00
2022-01-31,1501.4,1619.2,1501.4,1619.2,8304,1619.2,2026-09-03T19:34:53.443313+00:00
2022-02-01,1651.5,1781.1,1651.5,1781.1,4057,1781.1,2026-09-03T19:34:53.443313+00:00
2022-02-03,1816.7,1959.2,1816.7,1959.2,2373,1959.2,2026-09-03T19:34:53.443313+00:00
2022-02-06,1998.3,2090.0,1763.3,1763.3,20169,1763.3,2026-09-03T19:34:53.443313+00:00
2022-02-07,1730.0,1830.0,1610.0,1720.0,4141,1720.0,2026-09-03T19:34:53.443313+00:00
2022-02-08,1754.4,1866.6,1720.0,1764.0,4997,1764.0,2026-09-03T19:34:53.443313+00:00
2022-02-09,1750.0,1750.0,1706.0,1710.0,1866,1710.0,2026-09-03T19:34:53.443313+00:00
2022-02-10,1677.0,1703.0,1666.0,1699.0,1428,1699.0,2026-09-03T19:34:53.443313+00:00
2022-02-13,1665.1,1665.1,1569.0,1570.0,2851,1570.0,2026-09-03T19:34:53.443313+00:00
2022-02-14,1601.0,1601.0,1565.1,1568.0,1036,1568.0,2026-09-03T19:34:53.443313+00:00
2022-02-15,1568.0,1600.0,1562.0,1580.0,817,1580.0,2026-09-03T19:34:53.443313+00:00
2022-02-16,1600.0,1600.0,1541.1,1580.0,681,1580.0,2026-09-03T19:34:53.443313+00:00
2022-02-17,1556.0,1580.0,1550.0,1564.0,681,1564.0,2026-09-03T19:34:53.443313+00:00
2022-02-20,1564.0,1564.0,1501.4,1519.0,1192,1519.0,2026-09-03T19:34:53.443313+00:00
2022-02-21,1490.0,1520.0,1490.0,1500.0,1491,1500.0,2026-09-03T19:34:53.443313+00:00
2022-02-22,1530.0,1530.0,1500.0,1501.0,741,1501.0,2026-09-03T19:34:53.443313+00:00
2022-02-23,1473.0,1500.0,1460.0,1489.0,1426,1489.0,2026-09-03T19:34:53.443313+00:00
2022-02-24,1461.1,1490.0,1435.0,1440.0,2207,1440.0,2026-09-03T19:34:53.443313+00:00
2022-02-27,1419.0,1460.2,1412.0,1460.2,466,1460.2,2026-09-03T19:34:53.443313+00:00
2022-02-28,1450.0,1450.0,1425.0,1428.0,860,1428.0,2026-09-03T19:34:53.443313+00:00
